Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
ADUS,Addus Homecare Corporation,0.55%,14.25%,10.43%,7.66%,0.00%,0.00%
AEY,"ADDvantage Technologies Group, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Adecoagro SA,0.00%,0.00%,0.00%,0.00%,7.06%,0.00%
ADIL,Adial Pharmaceuticals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACET,Adicet Bio Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADDYY,Adidas AG - ADR,57.22%,40.31%,10.50%,8.98%,1.96%,0.00%
ADNT,Adient PLC,-97.12%,"5,866.67%",2.48%,10.15%,0.00%,0.00%
ADEX,Adit EdTech Acquisition Cor,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADTX,Aditxt Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADMQ,Adm Endeavors Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADMT,"ADM Tronics Unlimited, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADMA,ADMA Biologics Inc,34.00%,45.45%,65.38%,43.94%,0.00%,0.00%
ADBE,Adobe Inc,8.33%,17.31%,11.93%,13.93%,0.00%,0.00%
ADSE,Ads-Tec Energy PLC,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADT^E16,ADT Inc,0.00%,0.00%,0.00%,0.00%,1.74%,0.00%
ATGE,Adtalem Global Education Inc,31.48%,0.00%,4.38%,1.20%,0.00%,0.00%
,AdTheorent Holding Company Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADTN,Adtran Holdings Inc,107.89%,69.62%,81.12%,49.48%,1.49%,0.00%
AAP,"Advance Auto Parts, Inc.",13.14%,12.65%,3.10%,3.81%,3.04%,68.40%
ABMT,Advanced Biomedical Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACTX,Advanced Container Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
WMS^J13,Advanced Drainage Systems Inc,97.46%,6.43%,18.41%,3.60%,0.33%,12.89%
ADES,Advanced Emissions Solutions Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AEIS,"Advanced Energy Industries, Inc.",17.57%,10.85%,19.26%,3.09%,0.43%,0.00%
