Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
JBT,John Bean Technologies Corp,21.59%,16.73%,16.49%,7.19%,0.34%,0.00%
BTO,John Hancock Financial Opprts Fund,0.00%,0.00%,0.00%,0.00%,6.66%,0.00%
HEQ,John Hancock Hedged Equity & Income Fund,0.00%,0.00%,0.00%,0.00%,9.35%,0.00%
JHS,John Hancock Income Securities Trust,0.00%,0.00%,0.00%,0.00%,6.25%,0.00%
JHI,John Hancock Investors Trust,0.00%,0.00%,0.00%,0.00%,9.65%,0.00%
HPF,John Hancock Pref. Income Fund II,0.00%,0.00%,0.00%,0.00%,7.76%,0.00%
HPI,John Hancock Preferred Income Fund,0.00%,0.00%,0.00%,0.00%,7.81%,0.00%
HPS,John Hancock Preferred Income Fund III,0.00%,0.00%,0.00%,0.00%,7.67%,0.00%
PDT,John Hancock Premium Dividend Fund,0.00%,0.00%,0.00%,0.00%,7.28%,0.00%
HTD,John Hancock Tax-Advantage Dvd Incom Fd.,0.00%,0.00%,0.00%,0.00%,6.49%,0.00%
HTY,John Hancock Tax-Advntgd Glbl SH Yld Fd,0.00%,0.00%,0.00%,0.00%,11.74%,0.00%
JMSB,John Marshall Bancorp Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
WLY,John Wiley & Sons Inc,-7.45%,8.83%,2.69%,4.48%,2.62%,2.16%
JNJ,Johnson & Johnson,2.76%,5.16%,1.43%,3.98%,2.70%,5.87%
JCI^I16,Johnson Controls International PLC,13.21%,19.33%,7.08%,4.55%,2.48%,4.50%
JOUT,Johnson Outdoors Inc.,-52.50%,58.97%,-4.16%,5.63%,1.74%,23.78%
JYNT,Joint Corp,-66.67%,100.00%,23.87%,22.05%,0.00%,0.00%
JLL,Jones Lang LaSalle Inc,1.69%,3.79%,8.72%,2.29%,0.00%,0.00%
JSDA,Jones Soda Co. ( USA ),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JSHG,Joshua Gold Resources Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JNCE,Jounce Therapeutics Inc,-33.52%,3.70%,-67.48%,24.29%,0.00%,0.00%
DERM,Journey Medical Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GTVI,Joway Health Industries Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JWEL,Jowell Global Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
YY,JOYY Inc (ADR),6.06%,88.57%,-3.48%,9.40%,7.43%,0.00%
JPM,JPMorgan Chase & Co,-27.08%,12.23%,1.34%,8.18%,3.33%,14.99%
JRSS,JRSIS HEALTH CARE Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JMIA,Jumia Technologies AG - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JUVF,Juniata Valley Financial Corp,0.00%,0.00%,0.00%,0.00%,5.62%,5.92%
JUN,Juniper II Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JNPR,"Juniper Networks, Inc.",6.32%,20.00%,10.08%,5.55%,2.92%,14.87%
JPPYY,Jupai Holdings Ltd (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JAQC,Jupiter Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JUPGF,Jupiter Gold Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JWAC,Jupiter Wellness Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JUPW,Jupiter Wellness Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JTKWY,Just Eat Takeaway.com NV - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LLL^G19,JX Luxventure Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KAI,Kadant Inc.,14.69%,6.90%,14.08%,4.36%,0.54%,5.64%
KSI,Kadem Sustainable Impact Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KAIR,Kairos Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KACL,Kairous Acquisition Corp Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KALU,Kaiser Aluminum Corp.,-27.92%,242.77%,31.32%,10.35%,4.02%,9.86%
KAVL,Kaival Brands Innovations Group Inc,0.00%,136.36%,0.00%,420.83%,0.00%,0.00%
KXIN,Kaixin Auto Holdings,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KALA,Kala Pharmaceuticals Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KLR,Kaleyra Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KLTR,Kaltura Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KALV,Kalvista Pharmaceuticals Inc,-23.21%,13.04%,0.00%,0.00%,0.00%,0.00%
KAMN,Kaman Corporation,-6.74%,21.67%,0.12%,7.83%,2.38%,2.13%
KNDI,Kandi Technologies Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KCLI,Kansas City Life Insurance Co,0.00%,0.00%,0.00%,0.00%,1.76%,0.00%
BZ,Kanzhun Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KAOOY,Kao Corp - ADR,0.00%,0.00%,0.00%,0.00%,2.77%,0.00%
KAR,KAR Auction Services Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRT,Karat Packaging Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KARO,Karooooo Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRTX,Karuna Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KPTI,Karyopharm Therapeutics Inc,-27.27%,31.43%,-25.06%,12.10%,0.00%,0.00%
KSPN,Kaspien Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KATX,Kat Exploration Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KTHN,Katahdin Bankshares Corp,0.00%,0.00%,0.00%,0.00%,2.12%,4.56%
KPLT,Katapult Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KWHIY,Kawasaki Heavy Industries Ltd (ADR),0.00%,0.00%,0.00%,0.00%,1.58%,0.00%
KAYS,Kaya Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KYN,Kayne Anderson Energy Infrstctr Fund Inc,0.00%,0.00%,0.00%,0.00%,8.61%,-21.64%
KMF,Kayne Anderson Nextgen Energy&Infra Inc,0.00%,0.00%,0.00%,0.00%,7.34%,0.00%
KZIA,Kazia Therapeutics Ltd (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KB,"KB Financial Group, Inc. (ADR)",0.00%,0.00%,0.00%,0.00%,6.32%,16.97%
KBH,KB Home,69.05%,-6.00%,28.84%,2.42%,1.82%,43.10%
KBR,"KBR, Inc.",8.26%,17.94%,-9.83%,10.71%,0.93%,0.00%
,KDDI CORP ORD,4.72%,6.20%,1.14%,2.02%,0.00%,8.02%
BEKE,KE Holdings Inc - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRNY,Kearny Financial Corp.,0.00%,9.47%,4.38%,2.14%,3.62%,33.87%
K,Kellogg Company,-0.72%,3.39%,5.05%,1.88%,3.13%,2.52%
KELYA,"Kelly Services, Inc.",21.19%,41.53%,5.39%,5.75%,1.50%,0.00%
KLYG,Kelyniam Global Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KMPR,Kemper Corp,41.18%,0.00%,4.02%,-3.52%,2.65%,5.25%
KMPH,KemPharm Inc,58.62%,0.00%,-21.94%,142.13%,0.00%,0.00%
KENS,Kenilworth Systems Corporation,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KMT,Kennametal Inc.,1.12%,12.22%,0.92%,3.17%,2.92%,0.00%
KW,Kennedy-Wilson Holdings Inc,-83.93%,183.33%,9.47%,23.61%,4.68%,10.26%
KEN,Kenon Holdings Ltd,0.00%,0.00%,0.00%,0.00%,8.32%,0.00%
KCAC/U,Kensington Capital Acquisition Corp IV,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KCGI,Kensington Capital Acquisition Corp V,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KFFB,Kentucky First Federal Bancorp,0.00%,0.00%,0.00%,0.00%,5.17%,0.00%
KPELY,Keppel Corporation Ltd - ADR,0.00%,0.00%,0.00%,0.00%,5.08%,0.00%
KRNL,Kernel Group Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KROS,Keros Therapeutics Inc,-81.75%,-3.49%,-100.00%,0.00%,0.00%,0.00%
KRYAY,Kerry Group PLC - ADR,0.00%,0.00%,0.00%,0.00%,0.98%,0.00%
KDP,Keurig Dr Pepper Inc,5.63%,9.47%,10.62%,4.38%,1.92%,-19.59%
KEQU,Kewaunee Scientific Corporation,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KEWL,Keweenaw Land Association Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KWPCY,Kewpie Corp (ADR),0.00%,0.00%,0.00%,0.00%,3.31%,6.38%
KTCC,Key Tronic Corporation,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KYCH,Keyarch Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KEY,KeyCorp,-15.59%,7.21%,0.66%,6.42%,4.06%,17.84%
KEYS,Keysight Technologies Inc,14.77%,8.81%,7.93%,5.44%,0.00%,0.00%
KZR,Kezar Life Sciences Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KFRC,Kforce Inc.,19.49%,-1.65%,7.77%,-0.03%,2.17%,15.34%
KVSA,Khosla Ventures Acquisition Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KVSC,Khosla Ventures Acquisition III Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PIK,Kidpik Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRC,Kilroy Realty Corp,-67.88%,-1.14%,12.07%,3.68%,3.90%,6.86%
KE,Kimball Electronics Inc,74.17%,13.88%,22.76%,2.93%,0.00%,0.00%
KBAL,Kimball International Inc,-51.43%,211.76%,18.03%,9.93%,4.30%,10.86%
KRP,Kimbell Royalty Partners LP,131.37%,38.14%,32.28%,-0.05%,9.76%,0.00%
TGR^J14,Kimbell Tiger Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KMB,Kimberly Clark Corp,-8.58%,16.64%,4.18%,1.89%,3.45%,4.29%
KCDMY,Kimberly-Clark de Mexico SAB de CV - ADR,0.00%,0.00%,0.00%,0.00%,7.17%,0.00%
KIM,Kimco Realty Corp,-67.50%,50.00%,24.72%,2.30%,3.85%,-8.06%
KMI^E07,Kinder Morgan Inc,-9.85%,1.68%,7.64%,0.90%,5.97%,16.49%
KNIT,Kinetic Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNTK,Kinetik Holdings Inc,0.00%,0.00%,0.00%,0.00%,7.75%,0.00%
KRFG,"King Resources, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KC,Kingsoft Cloud Holdings Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KINS,Kingstone Companies Inc,65.03%,0.00%,-10.22%,2.10%,3.92%,-8.54%
KFS,Kingsway Financial Services Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KWAC,Kingswood Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNSA,Kiniksa Pharmaceuticals Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNTE,Kinnate Biopharma Inc,-20.87%,-10.04%,0.00%,0.00%,0.00%,0.00%
KGC,Kinross Gold Corporation (USA),0.00%,0.00%,0.00%,0.00%,3.41%,0.00%
KINZ,KINS Technology Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNSL,Kinsale Capital Group Inc,24.91%,14.09%,25.48%,24.82%,0.19%,34.49%
KTRA,Kintara Therapeutics Inc,68.13%,0.00%,0.00%,0.00%,0.00%,0.00%
KPRX,Kiora Pharmaceuticals Inc,67.80%,38.60%,0.00%,0.00%,0.00%,0.00%
KEX,Kirby Corporation,266.07%,73.17%,23.40%,9.48%,0.00%,0.00%
KNBWY,Kirin Holdings Co Ltd (ADR),-5.11%,137.34%,-1.94%,8.39%,3.00%,9.68%
KIRK,"Kirkland's, Inc.",0.00%,0.00%,-10.16%,3.93%,0.00%,0.00%
KRBP,Kiromic Biopharma Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KISB,Kish Bancorp Inc,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%
KIII,Kismet Acquisition Three Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KAII,Kismet Acquisition Two Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KITL,Kisses From Italy Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRG,Kite Realty Group Trust,54.79%,-36.36%,106.23%,3.33%,4.14%,-9.74%
KKR,KKR & Co Inc,-11.04%,14.94%,1.34%,14.32%,1.09%,-2.29%
KAHC,KKR Acquisition Holdings I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KIO,KKR Income Opportunities Fund,0.00%,0.00%,0.00%,0.00%,9.81%,0.00%
KREF,KKR Real Estate Finance Trust Inc,0.00%,0.00%,0.00%,0.00%,8.80%,0.00%
KLAQ,Kl Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KLAC,KLA Corp,15.60%,-2.99%,11.73%,-3.00%,1.40%,14.44%
KLBAY,KLABIN SA,0.00%,18.62%,0.00%,5.64%,6.94%,0.00%
KLDI,KLDiscovery Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
INKA,Kludein I Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KLXE,KLX Energy Services Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNX,Knight-Swift Transportation Holdings Inc,14.19%,-13.54%,26.92%,-3.25%,0.86%,0.00%
KSCP,Knightscope Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNSW,Knightswan Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNOP,KNOT Offshore Partners LP,9.82%,11.73%,-6.66%,9.60%,11.90%,0.00%
,Know Labs Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KNBE,Knowbe4 Inc,90.91%,23.81%,35.26%,24.60%,0.00%,0.00%
KN,Knowles Corp,-18.95%,12.10%,-10.43%,4.47%,0.00%,0.00%
KOD,Kodiak Sciences Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KSS,Kohl's Corporation,-44.61%,11.08%,-5.26%,1.46%,6.13%,-5.59%
KMTUY,Komatsu Ltd (ADR),0.00%,0.00%,0.00%,0.00%,3.52%,7.39%
KGKG,Kona Gold Beverage Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KTEL,KonaTel Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADRNY,Koninklijke Ahold Delhaize NV (ADR),0.00%,0.00%,0.00%,0.00%,5.38%,7.98%
RDSMY,Koninklijke DSM N.V. (ADR),0.00%,0.00%,0.00%,0.00%,1.87%,0.00%
KKPNY,Koninklijke KPN N.V. (ADR),0.00%,0.00%,0.00%,0.00%,4.62%,-19.49%
PHG,Koninklijke Philips NV (ADR),0.00%,0.00%,0.00%,0.00%,4.52%,6.42%
KTB,Kontoor Brands Inc,1.64%,2.99%,4.33%,3.07%,4.61%,0.00%
KOPN,Kopin Corporation,-70.00%,0.00%,5.20%,6.16%,0.00%,0.00%
KOP,Koppers Holdings Inc.,-2.61%,13.17%,19.25%,-0.29%,0.78%,0.00%
KORE,KORE Group Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KEP,Korea Electric Power Corporation (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KF,Korea Fund Inc,0.00%,0.00%,0.00%,0.00%,7.87%,0.00%
KFY,Korn Ferry,-5.94%,-0.17%,5.81%,1.42%,0.93%,3.71%
KRNT,Kornit Digital Ltd,0.00%,0.00%,-15.80%,20.22%,0.00%,0.00%
KRMD,KORU Medical Systems Inc,-130.00%,17.39%,15.04%,10.83%,0.00%,0.00%
KOS^E10,Kosmos Energy Ltd,0.00%,37.10%,79.17%,6.47%,0.00%,0.00%
KOSS,Koss Corporation,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KHC,Kraft Heinz Co,-8.19%,2.60%,0.03%,0.11%,4.13%,-7.40%
KBLB,Kraig Biocraft Laboratories Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KTOS,"Kratos Defense & Security Solutions, Inc",-8.33%,51.52%,11.65%,10.56%,0.00%,0.00%
DNUT,Krispy Kreme Inc,0.00%,0.00%,0.00%,0.00%,0.97%,0.00%
KR,Kroger Co,6.25%,3.58%,7.13%,1.41%,2.20%,11.63%
KNOS,Kronos Advanced Technologies Inc.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KRON,Kronos Bio Inc,4.71%,-22.81%,0.00%,0.00%,0.00%,0.00%
KRO,"Kronos Worldwide, Inc.",82.65%,2.79%,16.32%,3.41%,4.93%,3.71%
KRYS,Krystal Biotech Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KSBI,Ks Bancorp Inc,0.00%,0.00%,0.00%,0.00%,1.66%,47.58%
KT,KT Corp (ADR),0.00%,0.00%,0.00%,0.00%,5.21%,0.00%
KBNT,Kubient Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KUBTY,Kubota Corp (ADR),-11.03%,-4.41%,-6.05%,-3.26%,2.05%,0.00%
KUKE,Kuke Music Holding Ltd - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KLIC,Kulicke and Soffa Industries Inc.,17.92%,-27.35%,0.90%,-21.35%,1.39%,0.00%
KULR,KULR Technology Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KIROY,Kumba Iron Ore Ltd - ADR,0.00%,0.00%,0.00%,0.00%,12.70%,0.00%
CXKJ,Kun Peng International Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KURA,Kura Oncology Inc,-11.17%,-16.89%,0.00%,0.00%,0.00%,0.00%
,Kura Sushi USA Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KVHI,"KVH Industries, Inc.",96.88%,0.00%,-1.67%,7.66%,0.00%,0.00%
KWGBF,KWG Resources Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KYMR,Kymera Therapeutics Inc,-34.93%,-8.16%,-12.09%,6.17%,0.00%,0.00%
KD,Kyndryl Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KYOCY,Kyocera Corp (ADR),0.00%,0.00%,0.00%,0.00%,2.59%,10.87%
FSTR,L B Foster Co,-26.47%,168.00%,-9.48%,6.76%,0.00%,0.00%
LCAA,L Catterton Asia Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SCX,L S Starrett Co,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LHX,L3Harris Technologies Inc,3.55%,7.68%,-2.66%,4.94%,1.94%,0.00%
LJPC,La Jolla Pharmaceutical Company,-93.10%,475.00%,-30.29%,21.15%,0.00%,0.00%
LZB,La-Z-Boy Incorporated,0.96%,6.69%,-0.69%,1.63%,2.28%,8.45%
LTNC,Labor Smart Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LH,Laboratory Corp. of America Holdings,-29.17%,-10.45%,-5.49%,0.30%,1.11%,0.00%
LADR,Ladder Capital Corp,116.33%,8.49%,52.21%,24.73%,7.66%,-9.04%
LBRG,"Ladybug Resource Group, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LSF,Laird Superfood Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LAIXY,LAIX Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LSBK,"Lake Shore Bancorp, Inc.",0.00%,0.00%,0.00%,0.00%,5.23%,14.04%
LBAI,"Lakeland Bancorp, Inc.",-5.76%,9.44%,34.35%,7.60%,3.55%,7.45%
LKFN,Lakeland Financial Corporation,7.49%,3.98%,9.99%,6.49%,2.03%,13.35%
LAKE,"Lakeland Industries, Inc.",-17.73%,33.62%,2.29%,6.40%,0.00%,0.00%
LAAA,Lakeshore Acquisition I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LBBB,Lakeshore Acquisition II Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LRCX,Lam Research Corporation,14.79%,-5.42%,12.15%,-4.70%,1.21%,31.06%
LAMR,Lamar Advertising Co,27.68%,4.09%,11.66%,3.82%,4.60%,0.00%
LW,Lamb Weston Holdings Inc,34.13%,35.13%,16.26%,7.57%,1.22%,38.34%
LGVC,LAMF Global Ventures I Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LLLI,Lamperd Less Lethal Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LANC,Lancaster Colony Corp.,-27.80%,9.11%,11.43%,6.11%,2.22%,8.52%
LCA,Landcadia Holdings IV Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNDC,Landec Corporation,0.00%,-66.67%,-3.01%,23.62%,0.00%,0.00%
LARK,Landmark Bancorp Inc,0.00%,0.00%,0.00%,0.00%,3.35%,5.00%
LABP,Landos Biopharma Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LE,"Lands' End, Inc.",-23.23%,63.16%,0.28%,7.74%,0.00%,0.00%
LSEA,Landsea Homes Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LSTR,"Landstar System, Inc.",18.84%,-20.32%,15.25%,-14.78%,0.76%,22.03%
LCI,"Lannett Company, Inc.","-5,033.33%",13.64%,-28.77%,-2.64%,0.00%,0.00%
LTRN,Lantern Pharma Inc.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNTH,Lantheus Holdings Inc,638.78%,12.71%,111.88%,11.59%,0.00%,0.00%
LTRX,Lantronix Inc,84.21%,42.86%,78.73%,18.49%,0.00%,0.00%
LRDC,Laredo Oil Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LPI,Laredo Petroleum Inc,225.93%,62.84%,32.60%,2.54%,0.00%,0.00%
LRMR,Larimar Therapeutics Inc,29.49%,8.17%,0.00%,0.00%,0.00%,0.00%
LSPR,Larkspur Health Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LVS,Las Vegas Sands Corp.,27.97%,0.00%,5.25%,88.82%,0.00%,0.00%
LTMAQ,LATAM Airlines Group SA (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LATG,Latamgrowth SPAC,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LTCH,Latch Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SWIM,Latham Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LSCC,Lattice Semiconductor Corp,57.55%,18.56%,25.63%,13.49%,0.00%,0.00%
LAUR,Laureate Education Inc,-59.41%,165.85%,11.77%,8.08%,0.00%,0.00%
LVAC,LAVA Medtech Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LVTX,LAVA Therapeutics NV,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LGI,Lazard Global Total Return & Income Fund,0.00%,0.00%,0.00%,0.00%,8.53%,0.00%
LGAC,Lazard Growth Acquisition Corp I,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LAZ,Lazard Ltd,-27.18%,-1.63%,-13.54%,1.27%,5.12%,4.76%
LAZY,Lazydays Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LCII,LCI Industries,64.08%,-26.47%,24.30%,-7.83%,3.13%,30.83%
LCNB,LCNB Corp.,0.00%,9.64%,27.97%,6.02%,5.04%,3.77%
LDHA,LDH Growth Corp I,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEGA,Lead Edge Growth Opportunities Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LCHD,Leader Capital Holdings Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LBUY,Leafbuyer Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LFLY,Leafly Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LPTX,Leap Therapeutics Inc,10.64%,-7.14%,-20.00%,-100.00%,0.00%,0.00%
LEA,Lear Corporation,8.56%,80.74%,8.49%,13.93%,2.04%,13.80%
LCW,Learn CW Investment Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LTRE,"Learning Tree International, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEAT,Leatt Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEE,"Lee Enterprises, Incorporated",0.00%,27.95%,-1.93%,1.68%,0.00%,0.00%
LTES,Leet Technology Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LFTR,Lefteris Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEAI,Legacy Education Alliance Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEGH,Legacy Housing Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LGGNY,Legal & General Group PLC - ADR,0.00%,0.00%,0.00%,0.00%,6.76%,0.00%
LZ^I11,LegalZoom. com Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LGTO,Legato Merger II Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LEGN,Legend Biotech Corp,13.14%,8.40%,108.91%,57.21%,0.00%,0.00%
LEG,"Leggett & Platt, Inc.",-2.52%,2.21%,4.83%,2.17%,4.26%,4.38%
LGCP,Legion Capital Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LDOS,Leidos Holdings Inc,-3.63%,11.13%,3.34%,5.14%,1.47%,-2.64%
LEJU,Leju Holdings Ltd (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LMAT,LeMaitre Vascular Inc,-12.80%,28.44%,6.04%,6.93%,0.91%,19.42%
LMND,Lemonade Inc,-27.58%,-0.20%,84.51%,58.33%,0.00%,0.00%
LC,LendingClub Corp,738.89%,19.21%,46.49%,12.03%,0.00%,0.00%
TREE,Lendingtree Inc,0.00%,0.00%,-8.53%,5.97%,0.00%,0.00%
LEN,Lennar Corporation,17.03%,-10.18%,24.34%,-6.98%,1.71%,44.27%
LII,Lennox International Inc.,12.78%,6.47%,11.18%,0.76%,1.69%,16.43%
LNVGY,Lenovo Group Limited (ADR),0.00%,0.00%,0.00%,0.00%,5.36%,0.00%
LNSR,LENSAR Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LHC,Leo Holdings Corp II,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LHAA,Lerer Hippeau Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LSAK,Lesaka Technologies Inc,13.43%,0.00%,47.94%,189.39%,0.00%,0.00%
LESL,Leslie's Inc,9.41%,8.60%,16.01%,6.69%,0.00%,0.00%
LVRA,Levere Holdings Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
