Symbol,Company Name,Thomson Reuters,Argus Analyst,Argus A6 Quantitative,Market Edge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment
AIH,Aesthetic Medical International HldngsGL,--,--,,NC,--,,2.0,,
AEZS,AEterna Zentaris Inc. (USA),--,--,,NC,--,,2.0,Moderate Buy,N/A
GMFI,Aetherium Acquisition Corp,--,--,,NC,--,,0.0,,
AEMD,"Aethlon Medical, Inc.",Negative,--,,NC,--,,2.0,Moderate Buy,N/A
AEVA,Aeva Technologies Inc,Negative,--,,NC,Equalweight,,2.0,Moderate Buy,Bullish
LIDR,Aeye Inc,Negative,--,,NC,--,,1.7,Moderate Buy,Bullish
AFAQ,AF Acquisition Corp,--,--,,NC,--,,0.0,,
AFCG,AFC Gamma Inc,Positive,--,,NC,--,,2.0,Moderate Buy,Bullish
AMG,"Affiliated Managers Group, Inc.",Positive,--,BUY,Long,--,Hold,2.2,Strong Buy,Bullish
AFMD,Affimed NV,Negative,--,,NC,--,,1.7,Moderate Buy,Bullish
AFBI,Affinity Bancshares Inc,Positive,--,,NC,--,,0.0,N/A,Bearish
AFRM,Affirm Holdings Inc,Negative,--,,NC,Overweight,,2.8,Hold,Neutral
AFL,AFLAC Incorporated,Positive,--,HOLD,Long,Overweight,Buy,2.9,Hold,Bullish
AGAC,African Gold Acquisition Corp,Positive,--,,NC,--,,0.0,,
AFTR,AfterNext HealthTech Acquisition Corp,--,--,,NC,--,,0.0,,
AFYA,Afya Ltd,Neutral,--,,NC,Equalweight,,2.1,N/A,Bullish
MITT,AG Mortgage Investment Trust Inc,Neutral,--,,NC,--,,2.8,Moderate Buy,Bullish
AATP,Agape ATP Corp,--,--,,NC,--,,0.0,,
AGBA,AGBA Acquisition Ltd,--,--,,NC,--,,0.0,,
AGCO,AGCO Corporation,Neutral,--,BUY,Avoid,Equalweight,Hold,2.2,Moderate Buy,Bullish
UAVS,Ageagle Aerial Systems Inc,Negative,--,,NC,--,,0.0,,
AGESY,Ageas SA - ADR,--,--,,NC,--,,3.0,Hold,Bullish
AIFS,Agent Information Software Inc,--,--,,NC,--,,0.0,,
AGTX,Agentix Corp,--,--,,NC,--,,0.0,,
AGEN,Agenus Inc,Neutral,--,,NC,--,,1.5,Moderate Buy,Bullish
AGE,AgeX Therapeutics Inc,Negative,--,,NC,--,,0.0,,
AGGR,Agile Growth Corp,--,--,,NC,--,,0.0,,
AGRX,Agile Therapeutics Inc,Negative,--,,NC,--,,2.0,Moderate Buy,Bullish
A,Agilent Technologies Inc,Neutral,--,HOLD,Long,--,Hold,2.0,Strong Buy,Bullish
AGIL,AgileThought Inc,Negative,--,,NC,--,,1.5,Moderate Buy,Bullish
AGTI,Agiliti Inc,Neutral,--,,NC,Overweight,,1.8,Strong Buy,N/A
AGL,Agilon Health Inc,Neutral,--,,NC,--,,1.6,Strong Buy,Bullish
AGYS,"Agilysys, Inc.",Neutral,--,HOLD,Long,--,Sell,2.7,Moderate Buy,N/A
AGIO,Agios Pharmaceuticals Inc,Neutral,--,,Long,--,Sell,2.4,Hold,Bullish
AGMH,AGM Group Holdings Inc,Neutral,--,,NC,--,,0.0,,
AGNC,AGNC Investment Corp,Positive,Buy,BUY,Long,--,Hold,2.4,Moderate Buy,Bullish
AEM,Agnico Eagle Mines Ltd (USA),Neutral,--,HOLD,Neutral From Avoid,--,Sell,2.0,Strong Buy,Bullish
API^E15,Agora Inc,Negative,--,,NC,Overweight,,1.8,Strong Buy,Neutral
ADC,Agree Realty Corporation,Neutral,--,BUY,Long,Overweight,Hold,1.8,Strong Buy,Bullish
AGRIP,Agribank FCB,--,--,,NC,--,,0.0,,
AGRI,AgriFORCE Growing Systems Ltd,--,--,,NC,--,,2.0,Moderate Buy,Neutral
AGFY,Agrify Corp,Negative,--,,NC,--,,2.3,Strong Buy,Bullish
AGFS,AgroFresh Solutions Inc,Neutral,--,,NC,--,,2.3,Moderate Buy,N/A
AHRN,Ahren Acquisition Corp,--,--,,NC,--,,0.0,,
AIAD,Aiadvertising Inc,--,--,,NC,--,,0.0,,
AIB^J17,AIB Acquisition Corp,--,--,,NC,--,,0.0,,
AIKI,Aikido Pharma Inc,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
ALRN,Aileron Therapeutics Inc,Negative,--,,NC,--,,2.5,Moderate Buy,N/A
AIM^F13,AIM ImmunoTech Inc,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
AIMAU,Aimfinity Investment I Corp,--,--,,NC,--,,0.0,,
AIMD,Ainos Inc,--,--,,NC,--,,0.0,,
AIRYY,Air China Ltd (ADR),--,--,,NC,--,,1.0,N/A,Bearish
AFLYY,Air France KLM SA (ADR),--,--,,NC,--,,4.0,N/A,Neutral
AIRI,Air Industries Group,Neutral,--,,NC,--,,2.0,,
AL,Air Lease Corp,Positive,--,,Long,--,Hold,1.8,Strong Buy,Bullish
APD,"Air Products & Chemicals, Inc.",Positive,Buy,BUY,Long,Overweight,Hold,2.5,Moderate Buy,Bullish
AIRT,"Air T, Inc.",Neutral,--,,NC,--,Drop,1.0,,
ATSG,Air Transport Services Group Inc.,Positive,--,,Long,--,Buy,1.6,Strong Buy,Bullish
ABNB,Airbnb Inc,Neutral,Hold,SELL,NC,Equalweight,Hold,2.5,Moderate Buy,Bullish
EADSY,Airbus SE (ADR),--,--,,NC,--,,1.0,N/A,Bullish
AIRG,Airgain Inc,Negative,--,,NC,--,,2.4,Hold,N/A
ANTE,Airnet Technology Inc(ADR),--,--,,NC,--,Drop,0.0,,
AIRS,Airsculpt Technologies Inc,Neutral,--,,NC,Equalweight,,2.0,Moderate Buy,N/A
MIMO,Airspan Networks Holdings Inc,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
ASEKY,Aisin Corp (ADR),--,--,,NC,--,,0.0,,
AIXN,AiXin Life International Inc,--,--,,NC,--,,0.0,,
AJIA,Ajia Innogroup Holdings Ltd,--,--,,NC,--,,0.0,,
AKA,AKA Brands Holding Corp,Neutral,--,,NC,--,,2.2,Moderate Buy,N/A
AKAM,"Akamai Technologies, Inc.",Neutral,--,BUY,Neutral From Avoid,Equalweight,Sell,2.4,Moderate Buy,Bullish
AKAN,Akanda Corp,--,--,,NC,--,,0.0,,
AKTX,Akari Therapeutics PLC (ADR),--,--,,NC,--,,2.0,,
AKBTY,Akbank T.A.S. (ADR),--,--,,NC,--,,0.0,,
AKBA,Akebia Therapeutics Inc,Negative,--,,Long,Equalweight,Sell,3.0,Hold,Bullish
KERN,Akerna Corp,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
AKRO,Akero Therapeutics Inc,Negative,--,,NC,Equalweight,,2.0,Moderate Buy,Bullish
AKUS,Akouos Inc,Negative,--,,NC,--,,2.0,Strong Buy,N/A
AKTS,Akoustis Technologies Inc,Neutral,--,,NC,--,,1.8,Moderate Buy,Bullish
AKYA,Akoya Biosciences Inc,Neutral,--,,NC,Overweight,,1.6,Strong Buy,N/A
,Akso Health Group - ADR,--,--,,NC,--,,0.0,,
AKZOY,Akzo Nobel NV  (ADR),--,--,,NC,--,,3.0,,
ALG,"Alamo Group, Inc.",Positive,--,BUY,Long,--,Buy,2.0,N/A,Bullish
ALRM,AlarmCom Hldg Inc,Neutral,--,HOLD,Long,--,Sell,2.1,Moderate Buy,Bullish
ALK,"Alaska Air Group, Inc.",Positive,--,HOLD,Long,Overweight,Hold,1.9,Strong Buy,Bullish
APTL,Alaska Power & Telephone Co,--,--,,NC,--,,0.0,,
TCRT,Alaunos Therapeutics Inc,Neutral,--,,NC,--,,2.3,Moderate Buy,N/A
AIN,Albany International Corp.,Positive,--,HOLD,Long,--,Hold,2.7,Hold,N/A
ALB,Albemarle Corporation,Positive,Buy,HOLD,Long,Underweight,Buy,2.3,Moderate Buy,Bullish
ACI,Albertsons Companies Inc,Neutral,--,,NC,Underweight,,2.5,Hold,Bullish
ALBO,Albireo Pharma Inc,Neutral,--,,NC,--,,1.3,Strong Buy,Bullish
AA,Alcoa Corp,Neutral,Buy,BUY,Neutral From Avoid,Equalweight,Hold,2.1,Moderate Buy,Bullish
ALDX,Aldeyra Therapeutics Inc,Neutral,--,,NC,--,,1.4,Strong Buy,Bullish
ALEC,Alector Inc,Neutral,--,,NC,Overweight,,1.9,Moderate Buy,Bullish
ALR,Alerislife Inc,Negative,--,,NC,--,Drop,3.0,Hold,Bullish
ALRS,Alerus Financial Corp,Positive,--,,NC,--,,2.7,Hold,N/A
ALEX,Alexander & Baldwin Inc (Hawaii),Neutral,--,HOLD,Neutral From Avoid,--,Hold,1.7,Moderate Buy,N/A
ALX,"Alexander's, Inc.",Positive,--,,NC,--,,4.0,N/A,Bullish
ARE,Alexandria Real Estate Equities Inc,Neutral,--,SELL,Long,--,Hold,1.7,Strong Buy,Bullish
AXU,Alexco Resource Corp. (USA),--,--,,NC,--,,3.0,Hold,Bullish
ALF^J10,Alfi Inc,--,--,,NC,--,,0.0,N/A,Bearish
ASTL,Algoma Steel Group Inc,Positive,--,,NC,--,,0.0,Moderate Buy,Bullish
BABA,Alibaba Group Holding Ltd - ADR,Neutral,Hold,HOLD,Long,Overweight,Hold,1.9,Strong Buy,Bullish
ALCO,"Alico, Inc.",Neutral,--,,NC,--,,2.0,N/A,Bullish
ALIT,Alight Inc,Negative,--,,NC,--,,2.0,Moderate Buy,Bullish
ALGN,"Align Technology, Inc.",Neutral,--,BUY,Long,Overweight,Hold,2.1,Strong Buy,Bullish
ALHC,Alignment Healthcare Inc,Neutral,--,,NC,Overweight,,1.8,Strong Buy,Bullish
ALGS,Aligos Therapeutics Inc,Negative,--,,NC,--,,3.0,Hold,N/A
ALIM,Alimera Sciences Inc,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
ALJJ,"ALJ Regional Holdings, Inc.",--,--,,NC,--,,0.0,N/A,Bullish
WTER,Alkaline Water Company Inc,Negative,--,,NC,--,,2.0,N/A,Bullish
ALKT,Alkami Technology Inc,Neutral,--,,NC,--,,2.1,Strong Buy,Bearish
ALKS,Alkermes Plc,Neutral,--,,NC,Equalweight,Drop,2.6,Hold,Bullish
ALLK,Allakos Inc,Negative,--,,NC,Equalweight,,2.9,Moderate Buy,Bearish
ALLR,Allarity Therapeutics Inc,--,--,,NC,--,,1.0,Moderate Buy,N/A
