Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
DRI,"Darden Restaurants, Inc.",2.37%,11.00%,0.84%,-0.09%,-2.39%,1.13
DARE,Dare Bioscience Inc,7.89%,2.00%,-10.43%,22.29%,-22.38%,1.03
DRIO,DarioHealth Corp,9.62%,3.00%,-6.93%,30.49%,-51.94%,1.38
DPLS,Darkpulse Inc,10.50%,-14.00%,-21.74%,-28.53%,-75.85%,
DAR,Darling Ingredients Inc,2.86%,27.00%,14.23%,-5.60%,5.72%,1.08
DSKE,Daseke Inc,4.77%,14.00%,4.75%,-16.19%,-20.94%,1.5
DASTY,Dassault Systemes SE (ADR),2.33%,18.00%,6.92%,4.37%,-17.73%,
DAIO,Data I/O Corporation,-2.89%,12.00%,-0.20%,-0.30%,-42.61%,0.5
DKDCA,Data Knights Acquisition Corp,0.00%,0.00%,-9.35%,-5.89%,9.42%,0
DTST,Data Storage Corp,4.76%,7.00%,-3.88%,16.67%,-33.60%,0.77
ATDS,Data443 Risk Mitigation Inc,-25.13%,41.00%,27.38%,-20.68%,-90.46%,
DDOG,Datadog Inc,4.75%,26.00%,9.24%,12.46%,-0.96%,2.4
DTSS,Datasea Inc,6.34%,-15.00%,-22.53%,-35.55%,-29.59%,0.96
DTRK,"DATATRAK International, Inc.",-24.00%,9.00%,-6.42%,-48.02%,-84.30%,
DATS,DatChat Inc,4.27%,10.00%,-2.51%,-4.98%,0.00%,1.51
PLAY,Dave & Buster's Entertainment Inc,5.29%,33.00%,19.22%,2.08%,25.55%,1.74
DAVE,Dave Inc,1.00%,28.00%,19.95%,-65.21%,-92.08%,2.31
DTEA,DavidsTea Inc,1.91%,30.00%,19.40%,-27.76%,-58.37%,0.72
DVA,Davita Inc,7.55%,7.00%,-1.94%,-16.60%,-27.60%,0.44
DWSN,Dawson Geophysical Co,-5.41%,-3.00%,-15.72%,-20.64%,-41.92%,0.62
DXR,Daxor Corporation,-2.05%,15.00%,0.48%,4.17%,57.89%,0.18
