Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
BABA,Alibaba Group Holding Ltd - ADR,-3.44%,-10.00%,-23.50%,5.70%,-50.24%,1.47
ALCO,"Alico, Inc.",-7.88%,-7.00%,-15.60%,-25.31%,-6.36%,0.28
ALIT,Alight Inc,1.82%,19.00%,7.57%,10.56%,-15.60%,1.45
ALGN,"Align Technology, Inc.",0.56%,16.00%,4.01%,5.04%,-55.88%,1.54
ALHC,Alignment Healthcare Inc,1.66%,22.00%,10.20%,92.06%,-6.06%,1.44
ALGS,Aligos Therapeutics Inc,0.00%,-13.00%,-23.51%,14.05%,-91.06%,0.92
ALIM,Alimera Sciences Inc,-10.13%,35.00%,21.81%,57.75%,-15.01%,0.59
ALJJ,"ALJ Regional Holdings, Inc.",-0.52%,-5.00%,-17.44%,-21.29%,48.77%,0.52
WTER,Alkaline Water Company Inc,1.77%,-5.00%,-17.97%,5.67%,-77.18%,1.32
ALKT,Alkami Technology Inc,5.87%,28.00%,8.81%,45.06%,-47.39%,1.51
ALKS,Alkermes Plc,1.30%,-14.00%,-24.18%,-9.19%,-5.65%,0.58
ALLK,Allakos Inc,7.58%,2.00%,-9.23%,25.61%,-94.98%,1.63
ALLR,Allarity Therapeutics Inc,-3.48%,-15.00%,-21.69%,-17.00%,0.00%,1.98
BIRD,Allbirds Inc,-3.90%,-4.00%,-15.82%,9.63%,0.00%,1.82
Y,Alleghany Corporation,-0.04%,0.00%,-9.36%,-5.75%,29.62%,0.26
ABTX,Allegiance Bancshares Inc,2.38%,18.00%,5.13%,4.74%,25.18%,0.52
ALGT,Allegiant Travel Company,-8.90%,-6.00%,-14.87%,-29.21%,-41.97%,1.27
ALLE,Allegion PLC,-1.60%,5.00%,-3.64%,-12.33%,-21.34%,0.81
ALLG,Allego NV,46.12%,69.00%,50.41%,-28.40%,-37.56%,1.15
ALGM,Allegro MicroSystems Inc,-2.09%,25.00%,18.38%,7.65%,-6.99%,1.44
ALNA,Allena Pharmaceuticals Inc,12.39%,-26.00%,-31.74%,52.18%,-86.10%,1.41
ALE,ALLETE Inc,-0.76%,6.00%,-3.19%,-0.10%,-8.23%,0.3
ARLP,"Alliance Resource Partners, L.P.",-4.05%,8.00%,-3.41%,14.58%,195.30%,0.69
AWF,AllianceBernstein Global Hgh Incm Fd Inc,0.76%,8.00%,-1.48%,0.32%,-10.50%,0.4
AB,Alliancebernstein Holding LP,-2.50%,8.00%,-2.26%,11.87%,-6.47%,1.07
AFB,AllianceBernstein Natnl Muncpl Incm Fnd.,0.49%,5.00%,-5.66%,-0.76%,-12.92%,0.16
LNT,Alliant Energy Corporation,1.09%,7.00%,-3.18%,-0.54%,7.87%,0.3
ALID,Allied Corp,-9.43%,-1.00%,-3.96%,-32.02%,-53.59%,
AESE,Allied Esports Entertainment Inc,-1.89%,5.00%,-8.52%,5.66%,-19.02%,0.69
AHPI,Allied Healthcare Products Inc,20.97%,22.00%,13.50%,13.06%,-77.94%,1.17
AMOT,"Allied Motion Technologies, Inc.",19.46%,40.00%,29.04%,41.05%,8.15%,0.95
ALOD,Allied Resources Inc,2.43%,0.00%,-7.51%,-6.87%,5.00%,
ALSN,Allison Transmission Holdings Inc,-5.70%,3.00%,-8.10%,-5.58%,5.46%,0.62
ALLO,Allogene Therapeutics Inc,18.94%,37.00%,19.51%,123.33%,-22.51%,1.74
ALLT,Allot Ltd,3.19%,12.00%,1.77%,7.32%,-66.56%,0.95
ALVR,Allovir Inc,48.19%,65.00%,47.25%,146.86%,-51.32%,1.71
MDRX,Allscripts Healthcare Solutions Inc,11.53%,22.00%,10.67%,-7.74%,8.78%,0.71
EOD,Allspring Global Dividend Opportunty Fnd,5.41%,13.00%,5.00%,-0.45%,-10.05%,0.82
EAD,Allspring Income Opportunities Fund,1.66%,13.00%,2.42%,-3.24%,-14.70%,0.53
ERC,Allspring Multi-Sector Income Fund,1.93%,13.00%,1.77%,5.22%,-15.12%,0.48
ERH,Allspring Utilities and High Income Fund,0.00%,6.00%,-4.11%,-7.26%,-7.64%,0.48
ALL,Allstate Corp,7.59%,1.00%,-11.89%,-9.99%,-2.89%,0.6
ALLY,Ally Financial Inc,5.64%,1.00%,-6.43%,-15.85%,-31.54%,1.44
AAU,ALMADEN MINERALS LTD,-1.64%,14.00%,-1.46%,-18.01%,-42.74%,0.72
ALNY,"Alnylam Pharmaceuticals, Inc.",9.43%,67.00%,46.81%,80.07%,17.69%,1.09
AOSL,Alpha and Omega Semiconductor Ltd,-12.80%,11.00%,2.56%,8.24%,47.57%,2.24
APHE,Alpha Energy Inc,0.00%,0.00%,-9.70%,16.83%,149.72%,
ALPA,Alpha Healthcare Acquisition Corp III,0.00%,0.00%,-9.38%,-6.05%,0.00%,0.01
AMR,Alpha Metallurgical Resources Inc,3.24%,6.00%,-0.93%,-18.64%,315.62%,0.76
ANAV,Alpha Network Alliance Ventures Inc,0.00%,0.00%,-9.70%,25.56%,-60.31%,
APTM,Alpha Partners Technology Merger Corp,-0.10%,0.00%,-9.47%,-6.05%,0.00%,0.01
APT,"Alpha Pro Tech, Ltd.",-3.23%,0.00%,-8.27%,7.02%,-47.07%,0.75
ALBKY,Alpha Services and Holdings SA (ADR),-7.18%,17.00%,5.35%,-16.67%,-20.56%,
ALSA,Alpha Star Acquisition Corp,-0.10%,0.00%,-9.43%,-5.87%,0.00%,0
TKNO,Alpha Teknova Inc,-26.62%,-25.00%,-39.06%,-55.50%,-71.29%,1.17
GOOGL,Alphabet Inc,1.37%,8.00%,-2.93%,-1.52%,-7.80%,1.32
ATEC,Alphatec Holdings Inc,-3.54%,20.00%,5.50%,-0.49%,-39.33%,1.36
ALPP,Alpine 4 Holdings Inc,9.74%,47.00%,29.16%,18.28%,-65.52%,1.03
REVE,Alpine Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0
ALPIB,Alpine Banks of Colorado,0.17%,-1.00%,-10.47%,-16.02%,-19.02%,
ALPN,Alpine Immune Sciences Inc,-0.11%,-1.00%,-11.41%,16.67%,0.91%,1.35
PINE,Alpine Income Property Trust Inc,0.44%,6.00%,-4.53%,-5.24%,-0.40%,0.29
ALRT,ALR Technologies Inc,-5.84%,22.00%,27.34%,14.24%,-3.40%,
ACAX,Alset Capital Acquisition Corp,0.91%,1.00%,-8.33%,-5.01%,0.00%,0.06
AEI,Alset Ehome International Inc,7.24%,25.00%,11.63%,6.98%,-81.53%,1.02
ALOR,ALSP Orchid Acquisition I Corp,0.10%,0.00%,-9.70%,-5.88%,0.00%,0
ALTG,Alta Equipment Group Inc,16.70%,32.00%,22.59%,25.35%,7.33%,1.11
ALTR,Altair Engineering Inc,-5.93%,15.00%,3.28%,5.35%,-16.09%,1.09
ATAO,Altair International Corp,85.71%,100.00%,83.42%,86.93%,-54.89%,
CYTO,Altamira Therapeutics Ltd,11.27%,-6.00%,-19.87%,-39.02%,-84.36%,0.19
ALCC,ALTC Acquisition Corp,0.10%,0.00%,-9.42%,-6.34%,3.05%,0
AEAE,Altenergy Acquisition Corp,-0.20%,0.00%,-9.70%,-6.35%,0.00%,0
ABTI,Alterola Biotech Inc,11.86%,10.00%,-0.67%,-71.17%,-96.03%,
AYX,Alteryx Inc,12.69%,41.00%,26.31%,19.12%,-2.23%,1.8
ALTX,"Altex Industries, Inc.",0.00%,-1.00%,11.25%,-1.97%,-11.48%,
ATUS,Altice USA Inc,13.24%,30.00%,11.85%,16.70%,-59.98%,1.21
ATGN,"AltiGen Communications, Inc.",2.78%,-8.00%,-19.82%,-17.00%,-39.08%,
ATAQ,Altimar Acquisition Corp III,0.10%,1.00%,-9.15%,-5.77%,5.38%,0.01
AGCB,Altimeter Growth 2 Corp,0.00%,0.00%,-9.43%,-5.67%,5.38%,0.01
ALT,Altimmune Inc,11.73%,14.00%,1.68%,205.07%,24.56%,0.89
AAMC,Altisource Asset Management Corp,31.11%,128.00%,101.99%,120.14%,69.99%,1.31
ASPS,Altisource Portfolio Solutions S.A.,-6.52%,-3.00%,-10.66%,11.94%,38.12%,0.45
ALTU,Altitude Acquisition Corp,-0.10%,0.00%,-9.52%,-6.72%,6.88%,-0.01
ALTD,Altitude International Holdings Inc,-2.06%,-17.00%,-24.73%,-11.07%,-92.98%,
ALTO,Alto Ingredients Inc,11.51%,32.00%,16.17%,-4.80%,-2.15%,1.16
AIMC,Altra Industrial Motion Corp,5.56%,24.00%,13.43%,7.73%,-26.19%,1.31
MO,Altria Group Inc,1.15%,7.00%,-3.72%,-19.10%,-2.00%,0.3
,Altus Power Inc,13.52%,44.00%,26.74%,91.03%,-1.09%,1.03
AWCMY,Alumina Limited (ADR),3.17%,17.00%,4.18%,-10.80%,-6.54%,
ACH,Aluminum Corporation of China Ltd (ADR),2.81%,3.00%,-8.80%,-10.45%,-37.09%,1.07
ALVO,Alvotech SA,4.91%,16.00%,2.27%,-27.62%,-17.31%,
ALXO,ALX Oncology Holdings Inc,25.52%,22.00%,6.35%,39.33%,-79.26%,1.77
ALZN,Alzamend Neuro Inc,11.48%,9.00%,-2.61%,6.56%,-73.59%,1.04
AMAL,Amalgamated Bank,0.34%,20.00%,6.33%,12.46%,57.94%,0.52
AMSU,Amanasu Environment Corporation,-85.57%,1.00%,-9.15%,32.61%,-72.01%,
AMRN,Amarin Corporation plc (ADR),20.47%,8.00%,-2.02%,26.55%,-66.89%,0.93
AMZN,"Amazon.com, Inc.",2.27%,29.00%,16.71%,26.57%,-9.44%,1.7
AMFC,AMB Financial Corp.,5.44%,0.00%,-4.79%,-7.53%,16.95%,
AMBC,"Ambac Financial Group, Inc.",22.19%,22.00%,12.64%,70.23%,5.53%,0.69
AMBA,Ambarella Inc,-1.54%,37.00%,25.27%,23.48%,-7.08%,2.35
ABCP,AmBase Corporation,14.22%,2.00%,-7.89%,-56.44%,-45.49%,
ABEV,Ambev SA (ADR),8.46%,11.00%,0.14%,3.66%,-2.85%,0.8
AMBO,Ambow Education Holding Ltd (ADR),0.58%,-6.00%,-11.40%,-41.79%,-75.64%,0.51
AMAM,Ambrx Biopharma Inc - ADR,-7.02%,-17.00%,-26.12%,-48.07%,-86.53%,0.43
AMC,AMC Entertainment Holdings Inc,29.98%,54.00%,41.17%,113.34%,-21.44%,2.03
AMCX,AMC Networks Inc,-8.07%,4.00%,-7.48%,-12.02%,-41.90%,1.11
AMCI,AMCI Acquisition Corp II,0.87%,0.00%,-8.82%,-6.68%,0.00%,0.03
DIT,AMCON Distributing Co,-6.02%,38.00%,18.80%,22.57%,40.34%,0.52
AMCR,Amcor PLC,-0.08%,2.00%,-7.29%,-5.04%,12.08%,0.75
DOX,Amdocs Limited,2.86%,8.00%,-3.16%,7.07%,21.66%,0.55
AMED,Amedisys Inc,-2.23%,1.00%,-8.86%,1.42%,-33.48%,1
AMEN,"AMEN Properties, Inc",5.71%,19.00%,7.78%,8.07%,50.91%,
AMMX,AmeraMex International Inc,-3.77%,26.00%,12.32%,-35.58%,7.47%,
,Amerant Bancorp Inc,6.89%,2.00%,-10.52%,-4.14%,25.27%,0.62
UHAL,AMERCO,6.26%,20.00%,7.99%,3.35%,-8.28%,0.82
AEE,Ameren Corp,1.79%,7.00%,-2.58%,-6.00%,12.92%,0.3
AMRC,Ameresco Inc,10.44%,62.00%,40.00%,34.24%,7.88%,1.61
AMHG,Amergent Hospitality Group Inc,-32.57%,-26.00%,-39.64%,-44.94%,-57.80%,
ATAX,America First Multifamily Investors LP,0.97%,7.00%,-5.19%,7.39%,9.54%,0.59
AAGH,America Great Health,3.08%,-27.00%,-27.64%,-63.30%,-90.66%,
AMX,America Movil SAB de CV (ADR),4.09%,1.00%,-10.93%,-8.95%,19.18%,0.45
CRMT,"America's Car-Mart, Inc.",11.42%,32.00%,17.51%,36.07%,-24.16%,1.1
AMAO,American Acquisition Opportunity Inc,-0.30%,0.00%,-10.15%,-7.90%,7.51%,0
AAL,American Airlines Group Inc,3.01%,6.00%,-4.91%,-11.80%,-24.16%,1.79
AAT,"American Assets Trust, Inc",3.02%,2.00%,-7.76%,-12.18%,-16.10%,0.65
AXL,"American Axle & Manufact. Holdings, Inc.",19.75%,31.00%,20.98%,44.45%,16.25%,1.68
AMBK,American Bank Inc. (PA),-2.86%,-1.00%,-13.42%,-4.85%,17.28%,
ABML,American Battery Technology Co,9.09%,28.00%,14.13%,-12.54%,-43.88%,
ABLT,American Biltrite Inc.,0.00%,0.00%,-9.70%,-6.53%,-19.35%,
AMBZ,American Business Bank,0.00%,3.00%,-6.74%,-0.98%,16.77%,
AMMJ,American Cannabis Company Inc,-1.60%,-3.00%,4.41%,-27.24%,-58.09%,
ACMC,American Church Mortgage Company,-1.84%,-2.00%,-11.69%,99.65%,114.78%,
ACRG,American Clean Resources Group Inc,5.00%,-40.00%,-45.82%,-61.51%,119.11%,
CRYO,American Cryostem Corp,-0.50%,24.00%,3.67%,-17.94%,20.98%,
AEO,American Eagle Outfitters Inc,-2.84%,2.00%,-9.47%,-17.20%,-64.19%,1.35
AEP,American Electric Power Company Inc,1.76%,7.00%,-2.55%,-5.07%,20.33%,0.36
AEL,American Equity Investment Life Holding,13.20%,22.00%,11.74%,15.35%,32.82%,0.98
AXP,American Express Company,4.51%,14.00%,5.22%,-4.74%,1.00%,1.21
AMFL,American Films Inc,3.96%,0.00%,-13.81%,-16.83%,84.41%,
AFG,American Financial Group Inc,0.36%,-3.00%,-14.67%,-10.21%,18.24%,0.65
AGIN,American Graphite Technologies Inc,-16.67%,3.00%,-19.38%,-31.61%,-48.84%,
AMH,American Homes 4 Rent,2.16%,5.00%,-4.45%,-0.43%,-2.48%,0.66
AIG,American International Group Inc,6.48%,10.00%,-2.11%,-12.42%,8.91%,0.99
AIVN,"American International Ventures, Inc.",0.00%,0.00%,15.30%,7.75%,-41.69%,
AMLM,American Lithium Minerals Inc,9.90%,10.00%,1.38%,-20.47%,-38.27%,
AMRR,American Metals Recovery and Recyclg Inc,-6.03%,33.00%,23.03%,15.25%,498.25%,
AMNB,American National BankShares Inc,-1.73%,2.00%,-8.24%,-8.18%,10.09%,0.44
IFNY,American Noble Gas Inc,-9.42%,2.00%,-15.71%,-54.71%,27.65%,
AOUT,American Outdoor Brands Inc,16.42%,-10.00%,-17.10%,-27.76%,-69.18%,1.07
AOREF,American Overseas Group Ltd,0.00%,-7.00%,-16.15%,-4.08%,-31.50%,
APGI,American Power Group Corp,6.38%,0.00%,-9.70%,-6.53%,69.42%,
APEI,"American Public Education, Inc.",-22.26%,-18.00%,-24.28%,-15.23%,-49.73%,0.5
ARL,"American Realty Investors, Inc.",3.49%,8.00%,-1.87%,-16.26%,13.80%,0.58
AREB,American Rebel Holdings Inc,-26.74%,-18.00%,-31.80%,-14.32%,-83.36%,2.07
AREC,American Resources Corp,12.55%,77.00%,58.63%,88.38%,33.65%,1.69
AMS,American Shared Hospital Services,0.00%,7.00%,-4.99%,0.53%,-3.03%,0.31
AMNP,American Sierra Gold Corp.,17.65%,-23.00%,-30.54%,-48.07%,-47.31%,
AMSWA,"American Software, Inc.",1.19%,19.00%,5.96%,15.41%,-8.91%,1.09
AWR,American States Water Co,-1.98%,6.00%,-2.27%,9.17%,4.60%,0.32
AMSC,American Superconductor Corporation,-13.64%,12.00%,0.37%,7.91%,-60.95%,1.58
AMT,American Tower Corp,3.33%,8.00%,-1.99%,15.54%,6.33%,0.65
AVD,American Vanguard Corp.,-14.89%,-8.00%,-15.55%,-12.50%,29.87%,0.77
AVCT,American Virtual Cloud Technologies Inc,2.29%,-32.00%,-43.29%,-53.55%,-95.69%,1.7
AWK,American Water Works Company Inc,-0.56%,6.00%,-4.36%,1.73%,-6.14%,0.58
AMWL,American Well Corp,11.82%,13.00%,5.83%,82.99%,-49.58%,1.59
AMWD,American Woodmark Corporation,-1.01%,9.00%,-2.96%,-1.13%,-30.70%,1.04
ACAN,Americann Inc,-2.86%,-24.00%,-31.70%,-16.37%,-64.17%,
ATA,Americas Technology Acquisition Corp,-0.19%,0.00%,-9.26%,-5.62%,9.28%,0
COLD,Americold Realty Trust Inc,-0.46%,3.00%,-6.60%,19.62%,-6.08%,0.62
ACRU,AmeriCrew Inc,0.84%,1.00%,-8.94%,-44.20%,-75.30%,
AGSS,AmeriGuard Security Services Inc,-31.65%,12.00%,2.12%,-36.35%,82.02%,
AMP,"Ameriprise Financial, Inc.",4.01%,22.00%,11.23%,2.39%,10.28%,1.33
ABCB,Ameris Bancorp,1.69%,24.00%,8.82%,7.75%,0.25%,1
AMSF,"Amerisafe, Inc.",4.65%,3.00%,-10.83%,-5.83%,-8.18%,0.45
ASRV,"AmeriServ Financial, Inc.",0.00%,2.00%,-9.93%,-6.30%,7.26%,0.16
ABC,AmerisourceBergen Corp.,4.73%,2.00%,-5.50%,-15.64%,28.95%,0.5
ATCC,Ameritrust Corp,369.23%,-7.00%,293.44%,375.12%,-99.14%,
AMTY,Amerityre Corp,4.65%,-3.00%,11.33%,-10.51%,-30.01%,
ATLO,Ames National Corporation,0.23%,0.00%,-9.66%,-12.29%,-2.23%,0.14
AMST,Amesite Inc,37.11%,23.00%,11.11%,-10.75%,-71.99%,0.48
AME,"AMETEK, Inc.",0.65%,14.00%,4.70%,-1.40%,-2.12%,0.82
FUNN,Amfil Technologies Inc,8.28%,0.00%,-9.70%,-38.51%,-43.04%,
AMGN,"Amgen, Inc.",2.00%,3.00%,-7.87%,-2.09%,16.53%,0.23
FOLD,"Amicus Therapeutics, Inc.",22.76%,16.00%,2.73%,89.16%,28.74%,1.16
AMKR,"Amkor Technology, Inc.",-4.23%,28.00%,19.26%,10.55%,-14.48%,1.59
POWW,Ammo Inc,7.69%,34.00%,22.34%,52.24%,-17.82%,1.46
AMN,"AMN Healthcare Services, Inc.",0.63%,-1.00%,-4.56%,23.49%,16.94%,0.89
AMRX,Amneal Pharmaceuticals Inc,-13.26%,0.00%,-10.56%,-9.97%,-34.99%,0.85
AP,Ampco-Pittsburgh Corp,-1.11%,7.00%,4.10%,-19.55%,-16.26%,0.46
AMPH,Amphastar Pharmaceuticals Inc,-14.03%,-10.00%,-19.13%,-9.14%,66.26%,0.59
APH,Amphenol Corporation,1.46%,18.00%,10.22%,7.08%,12.11%,1.08
AMPE,Ampio Pharmaceuticals Inc,-3.58%,-40.00%,-45.47%,-53.89%,-92.65%,1.2
AMPY,Amplify Energy Corp,1.46%,4.00%,-6.88%,-6.98%,75.26%,0.89
AMPG,Amplitech Group Inc,6.96%,-2.00%,-10.43%,28.45%,-34.04%,1.11
AMPL,Amplitude Inc,15.94%,32.00%,15.99%,22.25%,0.00%,2.1
AXR,AMREP Corporation,5.97%,45.00%,30.57%,20.57%,21.13%,0.47
AMYT,Amryt Pharma PLC - ADR,5.95%,3.00%,-4.59%,-6.59%,-22.57%,0.47
HKD,AMTD Digital Inc - ADR,-80.22%,"1,242.00%",0.00%,0.00%,0.00%,
AMTD,AMTD IDEA Group - ADR,-61.60%,114.00%,98.82%,11.60%,-57.13%,-1.33
ASYS,"Amtech Systems, Inc.",5.45%,26.00%,13.69%,5.74%,-9.94%,1.31
AMLX,Amylyx Pharmaceuticals Inc,3.51%,31.00%,18.62%,261.72%,0.00%,0.89
AMRS,Amyris Inc,80.56%,69.00%,45.28%,89.85%,-76.67%,3.39
ANTX,AN2 Therapeutics Inc,34.06%,43.00%,24.84%,-40.11%,0.00%,1.01
ALNPY,ANA Holdings Inc - ADR,0.00%,9.00%,0.00%,0.00%,0.00%,
ANMP,Anacomp Inc,0.00%,0.00%,-9.70%,-49.67%,44.64%,
ADI,"Analog Devices, Inc.",-0.73%,14.00%,5.97%,7.67%,7.89%,1.22
ANAB,AnaptysBio Inc,13.61%,19.00%,8.31%,4.55%,8.19%,0.87
AVXL,Anavex Life Sciences Corp,10.83%,-9.00%,-16.57%,49.21%,-32.28%,2.01
ANDE,Andersons Inc,-7.77%,27.00%,11.32%,-2.68%,39.05%,0.37
ANDR,Andrea Electronics Corporation,-0.32%,44.00%,31.27%,8.70%,-5.46%,
WNNR,Andretti Acquisition Corp,1.20%,0.00%,-8.62%,-4.74%,0.00%,-0.03
ANEB,Anebulo Pharmaceuticals Inc,20.92%,37.00%,-4.46%,24.72%,-39.10%,0.75
FINS,Angel Oak Final Strategies Incm Trm Trst,0.00%,2.00%,0.00%,0.00%,0.00%,0.25
AOMR,Angel Oak Mortgage Inc,3.89%,10.00%,-2.66%,-0.35%,-12.20%,0.63
POND,Angel Pond Holdings Corp,0.30%,0.00%,-8.96%,-6.34%,7.23%,0.01
ANGH,Anghami Inc,2.24%,-6.00%,-22.12%,-52.68%,-66.24%,0.1
ANGI,Angi Inc,-9.25%,21.00%,19.78%,9.22%,-49.31%,2
ANGO,"AngioDynamics, Inc.",2.46%,17.00%,4.20%,24.66%,-5.68%,0.98
ANGN,Angion Biomedica Corp,-3.74%,-5.00%,-13.08%,-26.51%,-91.39%,1.39
ANPCY,Angle PLC (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,
NGLOY,Anglo American plc (ADR),6.91%,19.00%,2.03%,-17.44%,-16.05%,
AU,AngloGold Ashanti Limited (ADR),15.62%,16.00%,-4.44%,-12.65%,8.71%,0.26
AGTT,Angstrom Technologies Inc,0.00%,0.00%,-9.70%,3.85%,778.17%,
BUD,Anheuser-Busch Inbev SA  (ADR),3.44%,1.00%,-9.80%,-6.00%,-5.06%,0.8
ANIP,ANI Pharmaceuticals Inc,6.26%,14.00%,2.03%,32.92%,20.67%,0.76
ANIK,Anika Therapeutics Inc,-6.81%,1.00%,-9.11%,1.40%,-39.98%,0.68
ANIX,Anixa Biosciences Inc,1.33%,29.00%,17.33%,15.18%,-5.06%,0.97
NLY,"Annaly Capital Management, Inc.",0.75%,8.00%,-2.09%,-4.24%,-17.16%,0.78
ANNX,Annexon Inc,13.24%,24.00%,9.38%,73.23%,-71.34%,1.12
ANVS,Annovis Bio Inc,11.33%,-5.00%,-21.36%,26.55%,-68.08%,1.43
ANPC,AnPac Bio-Medical Science Co Ltd - ADR,-8.21%,-14.00%,-22.56%,-23.05%,-93.54%,1.14
ANSS,"ANSYS, Inc.",1.79%,23.00%,10.61%,12.43%,-16.32%,1.49
AEHL,Antelope Enterprise Holdings Ltd,-5.17%,0.00%,-7.18%,30.16%,-60.84%,0.67
ATEX,Anterix Inc,5.11%,19.00%,6.22%,-9.59%,-18.26%,0.64
AM^H13,Antero Midstream Corp,0.60%,9.00%,-1.17%,-4.16%,14.46%,0.95
AR,Antero Resources Corp,-0.26%,16.00%,3.46%,6.87%,189.07%,0.86
ADAL,Anthemis Digital Acquisitions I Corp,0.20%,1.00%,-9.07%,-5.88%,0.00%,0
HOUS,Anywhere Real Estate Inc,16.49%,19.00%,6.31%,15.06%,-25.26%,1.38
ANZU,Anzu Special Acquisition Corp I,0.15%,0.00%,-9.29%,-6.01%,7.07%,0.02
AON,Aon PLC,4.09%,10.00%,-0.22%,1.17%,17.35%,0.86
APCA,AP Acquisition Corp,0.10%,0.00%,-9.25%,-5.97%,0.00%,
APA,APA Corp (US),-3.51%,5.00%,-8.82%,-18.93%,83.67%,1.18
,Apartment Income REIT Corp,4.01%,9.00%,-1.20%,-3.00%,-4.86%,0.63
AIV,Apartment Investment and Management Co,18.19%,28.00%,18.17%,54.30%,43.96%,0.85
APN/U,Apeiron Capital Investment Corp,-0.30%,1.00%,-9.16%,-7.00%,0.00%,0.05
APLS,Apellis Pharmaceuticals Inc,14.79%,46.00%,24.94%,77.07%,17.04%,1.26
APGN,Apexigen Inc,-15.19%,-4.00%,-13.25%,-9.59%,4.53%,0.54
APG,APi Group Corp,-3.94%,15.00%,4.38%,1.31%,-18.90%,1.29
APOG,Apogee Enterprises Inc,4.27%,15.00%,3.07%,1.06%,9.69%,1.02
ARI,Apollo Commercial Real Est. Finance Inc,4.25%,20.00%,7.48%,0.81%,-12.57%,1.02
APEN,Apollo Endosurgery Inc,-0.16%,25.00%,18.98%,50.25%,-19.72%,1.16
APO^A10,Apollo Global Management Inc,4.82%,18.00%,7.69%,9.92%,5.19%,1.45
AINV,Apollo Investment Corp.,4.24%,23.00%,9.30%,4.91%,5.12%,0.65
AMEH,Apollo Medical Holdings Inc,-10.08%,15.00%,0.45%,56.41%,-34.29%,1.71
AFT,Apollo Senior Floating Rate Fund Inc,2.18%,6.00%,-4.72%,-3.55%,-9.72%,0.36
APGB,Apollo Strategic Growth Capital II,-0.04%,0.00%,-9.32%,-5.85%,7.35%,0
AIF,Apollo Tactical Income Fund Inc,0.00%,8.00%,0.00%,0.00%,0.00%,0.36
APPF,AppFolio Inc,5.53%,20.00%,9.66%,27.17%,-8.85%,1.04
APGT,Appgate Inc,-3.58%,-7.00%,-14.81%,-18.22%,8.48%,
APPH,Appharvest Inc,-10.92%,-9.00%,-16.45%,32.63%,-68.39%,1.23
APPN,Appian Corp,0.27%,17.00%,3.04%,3.30%,-45.46%,2.43
APLE,Apple Hospitality REIT Inc,0.55%,7.00%,-1.38%,-4.40%,18.29%,0.96
AAPL,Apple Inc,1.87%,14.00%,5.04%,7.97%,22.49%,1.26
APLD,Applied Blockchain Inc,-9.05%,135.00%,116.51%,-19.50%,-75.62%,
APDN,Applied DNA Sciences Inc,12.44%,407.00%,413.92%,265.15%,-23.50%,0.25
AERG,"Applied Energetics, Inc.",1.07%,3.00%,-10.46%,12.44%,99.80%,
AGTC,Applied Genetic Technologies Corp,9.88%,14.00%,-1.60%,-35.42%,-88.06%,0.81
AIT,Applied Industrial Technologies Inc,3.36%,17.00%,5.57%,-2.79%,25.85%,0.78
AMAT,"Applied Materials, Inc.",-3.63%,15.00%,6.49%,-5.52%,-19.82%,1.69
AMTI,Applied Molecular Transport Inc.,4.84%,-23.00%,-31.75%,-49.23%,-92.92%,1.9
AAOI,Applied Optoelectronics Inc,8.85%,34.00%,17.22%,-7.86%,-69.07%,1.31
APLT,Applied Therapeutics Inc,12.73%,17.00%,4.64%,-33.77%,-91.79%,0.98
AUVI,Applied UV Inc,22.78%,-14.00%,-22.83%,103.74%,-74.57%,0.99
ALDS,APPlife Digital Solutions Inc,0.00%,73.00%,56.65%,125.61%,-32.88%,
APQT,Appliqate Inc,0.00%,0.00%,0.00%,0.00%,0.00%,
APP,Applovin Corp,12.95%,31.00%,10.91%,38.62%,-25.45%,2.2
ASFT,Appsoft Technologies Inc,0.00%,0.00%,-9.70%,-13.16%,-75.52%,
APCX,AppTech Payments Corp,0.42%,12.00%,0.36%,-44.36%,-93.89%,-0.02
APYP,AppYea Inc,-11.17%,21.00%,8.54%,97.93%,-85.95%,
APRE,Aprea Therapeutics Inc,5.96%,-4.00%,-9.44%,-11.34%,-74.65%,1.26
APTY,APT Systems Inc,28.00%,14.00%,11.14%,-58.46%,-70.16%,
ATR,"AptarGroup, Inc.",1.98%,10.00%,-1.54%,-1.40%,-10.47%,0.72
APVO,Aptevo Therapeutics Inc,12.28%,11.00%,-1.57%,9.62%,-73.02%,1.91
APTX,Aptinyx Inc,44.94%,2.00%,-7.52%,13.11%,-72.14%,1.19
APTV,Aptiv PLC,-4.02%,15.00%,6.09%,8.50%,-34.62%,1.7
APM,Aptorum Group Ltd,12.41%,18.00%,2.21%,58.70%,-34.94%,1.25
APTO,Aptose Biosciences Inc,6.00%,-2.00%,-12.19%,-14.73%,-67.58%,0.98
APXI,APx Acquisition I Corp,-0.10%,0.00%,-9.43%,-6.07%,0.00%,0.01
APYX,Apyx Medical Corp,11.08%,53.00%,42.14%,225.48%,23.65%,1.99
AQMS,Aqua Metals Inc,8.81%,22.00%,13.20%,17.86%,-57.72%,1.54
APSI,Aqua Power Systems Inc,-0.23%,-6.00%,-13.63%,-18.73%,34.52%,
