Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
PVBK,Pacific Valley Bank,36.16x,,5.92x,2.24x,30.29x,0.00x,6.38%,0.68%
PACV,Pacific Ventures Group Inc,--,,0.05x,0.00x,0.00x,922.19x,0.00%,-66.31%
PAFO,Pacifico Acquisition Corp,--,,0.00x,1.36x,0.00x,0.00x,0.00%,0.00%
PCRX,Pacira Biosciences Inc,71.58x,1.67255,4.27x,3.46x,26.49x,49.97x,5.43%,2.56%
PKG,Packaging Corp Of America,13.05x,14.83411,1.57x,3.34x,9.07x,38.54x,27.40%,12.77%
PTVE,Pactiv Evergreen Inc,13.70x,,0.34x,1.63x,3.99x,76.95x,13.22%,2.18%
PACW,PacWest Bancorp,6.51x,,2.47x,1.01x,5.70x,0.00x,14.36%,1.41%
PGY,Pagaya Technologies Ltd,--,,0.00x,2.83x,2561.99x,0.00x,-3.92%,-3.52%
PD,Pagerduty Inc,--,,8.51x,10.07x,0.00x,52.36x,-42.79%,-15.09%
PAGS,PagSeguro Digital Ltd,24.03x,0.86222,2.65x,2.65x,14.07x,8.74x,11.77%,4.37%
PAYD,"Paid, Inc.",--,,1.14x,5.86x,0.00x,0.00x,-19.21%,-9.13%
PRFX,PainReform Ltd,--,,0.00x,0.42x,0.00x,0.00x,0.00%,0.00%
PLTR,Palantir Technologies Inc,--,,11.34x,8.42x,0.00x,0.00x,-24.40%,-16.96%
PTN,"Palatin Technologies, Inc.",--,,73.31x,2.28x,0.00x,0.98x,-82.16%,-59.93%
PLYN,Palayan Resources Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-569.42%
PALI,Palisade Bio Inc,--,,0.00x,1.26x,0.00x,0.00x,-428.08%,-310.35%
PTTTS,Palmetto Real Estate Trust,26.86x,,5.30x,2.60x,12.76x,64.38x,9.24%,3.31%
PANW,Palo Alto Networks Inc,--,,10.06x,153.96x,0.00x,91.59x,-58.38%,-3.77%
PLMR,Palomar Holdings Inc,41.51x,,6.24x,4.93x,0.00x,0.00x,12.19%,4.89%
PALT,Paltalk Inc,--,,1.41x,0.73x,0.00x,0.00x,-13.19%,-10.76%
PAM,Pampa Energia S.A. (ADR),4.27x,,2.43x,0.82x,6.53x,43.16x,24.17%,8.43%
PAAS,Pan American Silver Corp. (USA),24.48x,0.42702,2.59x,1.66x,8.90x,1.72x,6.91%,5.30%
PANA,Panacea Acquisition II Corp,--,,0.00x,1.38x,0.00x,0.00x,-1.24%,-1.19%
PLSH,Panacea Life Sciences Holdings Inc,--,,0.70x,0.32x,0.00x,64.71x,-597.19%,-70.12%
PCRFY,Panasonic Holdings (ADR),11.58x,-1.63119,0.35x,0.75x,4.49x,30.51x,7.36%,3.11%
PBLA,Panbela Therapeutics Inc,--,,0.00x,2.68x,0.00x,0.00x,-162.99%,-115.54%
PANL,Pangaea Logistics Solutions Ltd,3.06x,,0.33x,0.96x,2.24x,49.87x,35.84%,14.96%
PZZA,"Papa John's Int'l, Inc.",37.26x,5.65373,1.52x,0.00x,22.77x,171.95x,0.00%,11.02%
PPYA,Papaya Growth Opportunity Corp I,--,,0.00x,1.35x,0.00x,0.00x,0.00%,0.00%
PARR,Par Pacific Holdings Inc,10.86x,,0.18x,3.98x,5.56x,65.48x,45.48%,3.53%
PAR,PAR Technology Corporation,--,,3.44x,2.58x,0.00x,48.55x,-28.23%,-13.74%
PRBM,Parabellum Acquisition Corp,--,,0.00x,1.30x,0.00x,0.00x,0.00%,0.00%
FNA^G10,Paragon 28 Inc,--,,9.73x,8.91x,0.00x,19.65x,-28.33%,-15.49%
PGNT,Paragon Technologies Inc.,3.11x,,0.09x,0.97x,2.39x,40.36x,37.35%,9.46%
PARA,Paramount Global,5.32x,0.51418,0.55x,0.71x,4.40x,40.33x,14.83%,6.07%
PZG^D15,Paramount Gold Nevada Corp,--,,49.88x,0.42x,0.00x,8.02x,-15.41%,-13.75%
PGRE,Paramount Group Inc,792.53x,,2.35x,0.47x,6.95x,46.30x,0.06%,0.24%
PRMRF,Paramount Resources Ltd (USA),6.88x,,2.42x,1.37x,4.46x,7.51x,23.96%,15.33%
PRTK,Paratek Pharmaceuticals Inc,--,,1.45x,0.00x,0.00x,238.58x,0.00%,-50.10%
PDER,Pardee Resources Company Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PRDS,Pardes Biosciences Inc,--,,0.00x,0.73x,0.00x,0.00x,0.00%,0.00%
PKE,Park Aerospace Corp,33.21x,,4.79x,1.88x,28.71x,0.00x,5.62%,4.67%
PCYG,"Park City Group, Inc.",30.81x,,5.63x,2.38x,23.05x,7.33x,7.95%,7.69%
PK,Park Hotels & Resorts Inc,--,,1.70x,0.81x,15.50x,52.18x,-1.34%,-0.49%
PRK,Park National Corporation,15.05x,,4.78x,2.07x,13.52x,0.00x,13.70%,1.47%
PKOH,Park-Ohio Holdings Corp.,--,,0.16x,0.83x,14.66x,67.97x,-6.53%,-1.53%
PKCOY,Park24 Co Ltd - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PKBK,"Parke Bancorp, Inc.",6.82x,,3.53x,1.11x,6.57x,0.00x,17.84%,2.03%
PKDC,Parker Drilling Co,--,,0.14x,0.26x,31.54x,33.46x,-34.87%,-11.08%
PH,Parker-Hannifin Corp,29.74x,27.7441,2.43x,4.35x,20.37x,56.44x,15.26%,5.69%
PRKR,"ParkerVision, Inc.",--,,93.84x,0.00x,0.00x,0.00x,0.00%,-255.01%
PRKA,"Parks! America, Inc.",22.18x,,3.09x,2.45x,14.99x,28.43x,11.68%,7.66%
PRKV,ParkVida Group Inc,--,,0.00x,1.65x,0.00x,8.06x,-61.75%,-40.24%
PKKW,Parkway Acquisition Corp,7.30x,,1.77x,0.89x,5.79x,0.00x,12.24%,1.05%
PCX,Parsec Capital Acquisitions Corp,--,,0.00x,1.29x,0.00x,0.00x,-4.13%,-3.96%
PSN,Parsons Corp,54.91x,,1.14x,2.28x,17.93x,28.85x,4.67%,2.76%
PTNR,Partner Communications Company Ltd (ADR),35.89x,,1.53x,2.79x,6.02x,55.46x,8.20%,2.80%
PTRS,Partners Bancorp,18.01x,,3.09x,1.28x,20.77x,0.00x,7.00%,0.58%
ID^G11,Parts Id Inc,--,,0.11x,0.00x,0.00x,0.00x,0.00%,-19.41%
PRTY,Party City Holdco Inc,1.35x,,0.07x,0.67x,0.84x,87.78x,68.80%,3.88%
KTTA,Pasithea Therapeutics Corp,--,,1081.64x,0.54x,0.00x,0.00x,-12.57%,-12.25%
PASG,Passage Bio Inc,--,,0.00x,0.44x,0.00x,0.00x,-55.49%,-48.83%
PSSR,"PASSUR Aerospace, Inc.",--,,0.33x,0.00x,0.00x,0.00x,0.00%,-43.70%
PFDR,Pathfinder Acquisition Corp,44.46x,,0.00x,1.30x,44.44x,0.18x,2.96%,2.76%
PBHC,Pathfinder Bancorp Inc (MARYLAND),10.66x,,2.52x,1.04x,7.60x,0.00x,9.47%,1.01%
CASH,Pathward Financial Inc,7.12x,,1.74x,1.44x,5.98x,0.00x,18.31%,2.21%
PAX,Patria Investments Ltd,16.38x,,3.38x,3.83x,6.13x,1.37x,39.41%,27.91%
PLAO,Patria Latin Amrcn Opprtnty Acqstn Crp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
PATK,"Patrick Industries, Inc.",4.16x,,0.27x,1.52x,2.93x,62.28x,45.12%,13.24%
PGOL,Patriot Gold Corp.,16.61x,,1.86x,0.84x,0.00x,0.00x,5.47%,5.28%
PNBK,Patriot National Bancorp Inc,8.96x,,1.46x,0.79x,9.24x,0.00x,8.41%,0.53%
PATI,Patriot Transportation Holding Inc,4.34x,,0.32x,0.90x,1.96x,0.00x,20.31%,13.42%
PDCO,"Patterson Companies, Inc.",14.92x,2.47258,0.46x,2.86x,10.56x,33.17x,20.27%,7.34%
PTEN,"Patterson-UTI Energy, Inc.",--,,1.63x,2.02x,9.81x,35.77x,-26.85%,-15.06%
MUEL,Paul Mueller Co,--,,0.28x,1.48x,8.31x,29.56x,-1.08%,-0.29%
PAVM,PAVmed Inc,--,,232.38x,3.64x,0.00x,1.33x,-127.41%,-96.76%
PAYA,Paya Holdings Inc,184.22x,,3.53x,3.80x,26.07x,49.42x,2.11%,0.81%
PAYX,"Paychex, Inc.",34.63x,4.10345,10.37x,15.50x,30.17x,20.72x,46.17%,14.77%
PAYC,Paycom Software Inc,96.12x,3.59879,18.69x,21.96x,73.28x,2.83x,25.57%,5.62%
PYCR,Paycor HCM Inc,--,,13.65x,4.29x,195.74x,0.00x,-13.24%,-3.99%
PCTY,Paylocity Holding Corp,168.55x,,17.57x,24.39x,106.28x,0.00x,16.65%,2.51%
PAY,Paymentus Holdings Inc,329.20x,,3.07x,3.53x,56.50x,0.68x,1.25%,1.00%
PAYO,Payoneer Global Inc,--,,3.81x,3.71x,258.33x,2.67x,-1.72%,-0.34%
PYPL,PayPal Holdings Inc,57.09x,3.10542,4.33x,5.78x,33.98x,34.94x,10.11%,2.71%
PSFE,Paysafe Ltd,--,,1.09x,1.10x,0.00x,63.45x,-60.05%,-18.11%
PAYS,Paysign Inc,--,,3.82x,9.05x,102.32x,0.00x,-10.99%,-1.69%
PBBK,PB Bankshares Inc,35.94x,,3.84x,0.78x,30.08x,0.00x,2.92%,0.30%
PBNC,PB Financial Corp,10.40x,,3.52x,1.41x,0.00x,90.52x,14.99%,1.44%
PBF,PBF Energy Inc,2.89x,0.3381,0.10x,1.26x,1.98x,46.90x,58.48%,11.71%
PBFX,PBF Logistics LP,7.33x,,3.12x,3.91x,5.87x,65.74x,62.39%,17.30%
CNXN,"PC Connection, Inc.",14.31x,1.78883,0.40x,1.93x,12.56x,0.00x,12.83%,8.32%
PCTI,PC Tel Inc,--,,0.94x,1.34x,32.06x,0.21x,-1.12%,-0.90%
PCB,PCB Bancorp,7.36x,,2.95x,1.12x,7.03x,0.00x,16.21%,1.86%
PCCWY,PCCW Ltd (ADR),83.29x,,0.84x,2.24x,3.64x,76.07x,3.18%,2.96%
PCM,"PCM Fund, Inc.",11.37x,,9.51x,1.08x,0.00x,43.17x,9.54%,4.83%
PCSB,PCSB Financial Corp,18.74x,,5.32x,1.08x,22.01x,0.00x,5.39%,0.77%
PCTL,PCT Ltd,5.37x,,5.87x,0.00x,2.72x,298.39x,0.00%,50.93%
PDCE,PDC Energy Inc,4.63x,,2.02x,1.64x,2.94x,32.94x,42.08%,18.76%
PDFS,"PDF Solutions, Inc.",--,,8.35x,4.79x,0.00x,0.00x,-8.22%,-6.72%
PDSB,PDS Biotechnology Corp,--,,0.00x,3.12x,0.00x,0.00x,-44.32%,-41.34%
BTU,Peabody Energy Corporation,4.41x,,0.79x,1.38x,2.96x,31.34x,46.55%,15.17%
PKPH,Peak Pharmaceuticals Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-341.64%
PGC,Peapack-Gladstone Financial Corp,10.20x,1.78887,2.73x,1.18x,9.07x,0.00x,11.82%,1.05%
PEAR,Pear Therapeutics Inc,--,,39.70x,3.97x,0.00x,28.10x,-56.24%,-40.46%
PRLH,Pearl Holdings Acquisition Corp,--,,0.00x,1.26x,0.00x,0.02x,0.00%,0.00%
PSO,Pearson PLC (ADR),24.65x,-6.31954,1.81x,1.46x,10.53x,22.46x,6.42%,3.80%
PEB,Pebblebrook Hotel Trust,--,,2.25x,0.82x,52.21x,44.50x,-6.06%,-2.21%
PED,Pedevco Corp,--,,5.20x,1.08x,14.39x,0.00x,-0.77%,-0.72%
MD,Pediatrix Medical Group Inc,21.99x,3.75998,0.91x,2.09x,15.38x,48.87x,9.90%,3.32%
QSMGD,Pedro's List Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PGSS,Pegasus Digital Mobility Acquis Corp,--,,0.00x,1.34x,0.00x,0.00x,0.00%,0.00%
PTEL,Pegasus Tel Inc,--,,1117.40x,0.00x,0.00x,0.00x,0.00%,0.00%
PEGA,Pegasystems Inc.,--,,2.71x,24.76x,0.00x,81.57x,-115.93%,-26.59%
PTON,Peloton Interactive Inc,--,,1.05x,2.29x,0.00x,32.79x,-100.67%,-41.32%
PENN,PENN Entertainment Inc,30.71x,0.82729,0.90x,1.53x,8.62x,75.98x,6.23%,1.27%
PNTG,Pennant Group Inc,--,,1.11x,4.29x,230.02x,31.05x,-2.34%,-0.52%
PFLT,Pennantpark Floating Rate Capital Ltd,22.87x,,5.13x,1.00x,0.00x,59.96x,4.11%,1.72%
PNNT,PennantPark Investment Corp.,12.37x,,4.27x,0.67x,0.00x,54.18x,5.54%,2.71%
PNNX,Pennexx Foods Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PWOD,"Penns Woods Bancorp, Inc.",9.75x,,2.58x,0.98x,10.50x,0.00x,10.01%,0.88%
PEI,Pennsylvania Real Estate Invt Trust,--,,0.12x,0.00x,0.00x,100.80x,-348.21%,-6.02%
PFSI,PennyMac Financial Services Inc,4.94x,0.28875,1.03x,0.89x,4.06x,65.31x,20.79%,3.80%
PMT,PennyMac Mortgage Investment Trust,--,,2.86x,0.93x,0.00x,83.61x,-10.21%,-1.06%
PAG,"Penske Automotive Group, Inc.",6.47x,1.13523,0.33x,2.10x,5.66x,48.21x,35.47%,10.54%
PNR,Pentair PLC,14.63x,2.98656,2.04x,3.20x,12.70x,26.23x,23.49%,12.31%
$PEN,Penumbra Inc,--,,8.13x,6.76x,7890.45x,2.75x,-2.35%,-1.81%
PEBC,Peoples Bancorp Inc (Maryland),--,,2.00x,0.96x,0.00x,0.00x,-8.51%,-0.87%
PEBO,Peoples Bancorp Inc.,12.76x,,3.02x,1.11x,10.40x,0.00x,10.22%,1.14%
PEBK,"Peoples Bancorp of North Carolina, Inc.",11.46x,,2.11x,1.32x,10.27x,0.00x,10.14%,0.80%
PFBX,Peoples Financial Corp,6.51x,,2.17x,1.24x,5.59x,0.00x,13.93%,1.30%
PFIS,Peoples Financial Services Corp,8.64x,,3.29x,1.23x,8.08x,0.00x,13.97%,1.39%
PPSF,Peoples-Sidney Financial Corporation,35.03x,,5.86x,1.65x,29.31x,0.00x,4.88%,0.57%
PEPG,PepGen Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PEPL,PepperLime Health Acquisition Corp,--,,0.00x,1.26x,0.00x,0.00x,0.00%,0.00%
PEP,"PepsiCo, Inc.",25.95x,6.11647,2.97x,13.10x,19.93x,67.78x,55.69%,10.24%
PRSO,Peraso Inc,--,,7.03x,1.49x,0.00x,0.00x,-68.61%,-59.01%
PCCT,Perception Capital Corp II,--,,0.00x,16671.47x,0.00x,77.63x,0.00%,0.00%
PRDO,Perdoceo Education Corp,7.81x,,1.22x,1.20x,6.47x,0.00x,16.85%,13.40%
PGID,Peregrine Industries Inc,--,,53.57x,2.64x,12146.63x,0.00x,-26.89%,-23.25%
PWP,Perella Weinberg Partners,30.02x,,1.03x,5.32x,0.00x,0.00x,16.70%,-4.13%
PRFT,"Perficient, Inc.",40.38x,2.88459,3.45x,7.87x,27.69x,51.76x,19.74%,8.97%
,Performance Food Group Co,107.12x,9.23792,0.17x,2.42x,15.74x,56.49x,2.58%,0.70%
PSHG,Performance Shipping Inc,--,,0.38x,0.02x,0.00x,37.98x,-20.79%,-6.18%
PFMT,Performant Financial Corp,--,,1.59x,2.17x,0.00x,18.31x,-12.03%,-6.09%
PDOT,Peridot Acquisition Corp II,94.63x,,0.00x,1.30x,0.00x,0.00x,1.38%,1.29%
PRM^G11,Perimeter Solutions SA,--,,4.37x,1.54x,0.00x,40.36x,-84.48%,-32.35%
PERI,Perion Network Ltd,15.02x,,1.76x,1.92x,12.92x,0.00x,16.47%,11.21%
PCPC,Periphas Capital Partnering Corp,87.70x,,0.00x,1.07x,0.00x,0.00x,1.22%,1.21%
PKI,"PerkinElmer, Inc.",29.17x,2.22657,3.98x,2.79x,17.73x,38.51x,11.82%,5.88%
PESI,"Perma-Fix Environmental Services, Inc.",57.11x,,1.15x,1.89x,28.52x,5.16x,2.79%,1.18%
PPIH,Perma-Pipe International Holdings Inc,12.67x,,0.51x,1.39x,7.20x,33.09x,11.84%,5.16%
PBT,Permian Basin Royalty Trust,70.34x,,64.47x,2636.85x,99.91x,0.00x,"3,555.97%",580.10%
,Permianville Royalty Trust,17.71x,,13.91x,1.68x,0.00x,0.00x,9.10%,9.06%
PRT,PermRock Royalty Trust,11.88x,,10.90x,1.25x,0.00x,0.00x,10.30%,10.21%
PRPI,Perpetual Industries Inc,--,,1.75x,1.96x,0.00x,10.59x,-15.74%,-10.43%
PRGO,Perrigo Company PLC,--,,1.29x,1.16x,26.53x,45.91x,-1.70%,-0.79%
PSGR,Pershing Resources Company Inc,--,,0.00x,1087.21x,0.00x,87.06x,"-1,666.94%",-209.37%
PSNL,Personalis Inc,--,,2.87x,0.83x,0.00x,0.66x,-31.03%,-25.26%
PPAAY,Perusahaan Gas Negara Tbk PT,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PVSP,Pervasip Corp,--,,15.94x,0.00x,43.22x,0.00x,0.00%,-172.55%
WOOF,Petco Health and Wellness Company Inc,22.34x,,0.79x,2.01x,13.48x,42.04x,8.26%,2.61%
PETQ,PetIQ Inc,--,,0.44x,1.61x,20.53x,64.93x,-5.86%,-1.76%
PETS,Petmed Express Inc,23.23x,,1.76x,3.31x,20.87x,0.00x,13.86%,11.50%
PBAJ,Petro Usa Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PTR,PetroChina Company Limited (ADR),5.28x,,0.32x,0.42x,2.53x,24.53x,8.13%,4.93%
PTCP,"PetroCorp, Inc.",--,,447.78x,0.00x,0.00x,503.54x,0.00%,-176.71%
PTCO,PetroGas Co,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PBR,Petroleo Brasileiro SA Petrobras (ADR),3.25x,,0.89x,1.28x,2.13x,40.47x,42.14%,16.67%
PTPI,Petros Pharmaceuticals Inc,--,,2.63x,0.46x,0.00x,22.21x,-42.97%,-19.95%
PETV,PetVivo Holdings Inc,--,,194.43x,3.75x,0.00x,0.56x,-197.06%,-121.39%
PFE,Pfizer Inc.,9.63x,2.23919,2.77x,0.00x,8.14x,0.00x,0.00%,0.00%
PFSW,"PFSweb, Inc.",--,,0.86x,1.26x,0.00x,0.08x,-16.32%,-8.05%
PCG,PG&E Corporation,149.81x,26.75211,1.32x,1.05x,7.51x,68.69x,0.98%,0.21%
GHY,PGIM Global High Yield Fund Inc,23.65x,,9.69x,0.78x,0.00x,18.79x,3.23%,2.44%
ISD,PGIM High Yield Bond Fund Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
SDHY,PGIM Shrt Duratin Hgh Yld Opprtnts Fund,43.45x,,12.01x,0.98x,0.00x,24.88x,1.49%,1.16%
PGTI,PGT Innovations Inc,20.90x,,0.99x,2.34x,10.43x,50.24x,11.86%,5.06%
PBSV,Pharma Bio Serv Inc,--,,0.94x,1.21x,0.00x,0.00x,-10.96%,-8.54%
PMCB,Pharmacyte Biotech Inc,--,,0.00x,0.60x,0.00x,0.00x,-8.78%,-8.65%
PHBI,Pharmagreen Biotech Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,"-1,876.43%"
PCHM,"PharmChem, Inc.",--,,0.50x,1.72x,10.97x,33.90x,-10.07%,-4.69%
,PHARMING GROUP NV SHS NEW,35.34x,,3.31x,3.36x,16.65x,42.73x,10.51%,5.19%
PHVS,Pharvaris NV,--,,0.00x,2.87x,0.00x,0.12x,-24.72%,-23.68%
PHAS,PhaseBio Pharmaceuticals Inc,--,,5.07x,0.00x,0.00x,0.00x,0.00%,-164.68%
PHAT,Phathom Pharmaceuticals Inc,--,,0.00x,0.00x,0.00x,103.81x,-262.25%,-76.66%
PFX^F16,Phenixfin Corp,11.78x,,3.96x,0.57x,0.00x,35.88x,5.31%,3.36%
PAHC,Phibro Animal Health Corp,13.09x,28.47885,0.85x,2.88x,8.46x,60.89x,24.36%,6.83%
PM,Philip Morris International Inc.,16.85x,2.83211,4.78x,0.00x,14.32x,134.92x,0.00%,23.43%
PSX,Phillips 66,7.38x,-1.91761,0.28x,1.70x,5.66x,34.55x,25.53%,9.51%
PECO,Phillips Edison & Co Inc,113.17x,,7.06x,1.75x,14.76x,41.98x,1.70%,0.81%
PHIO,Phio Pharmaceuticals Corp,--,,0.00x,0.56x,0.00x,0.00x,-49.25%,-44.71%
PBAX,Phoenix Biotech Acquisition Corp,--,,0.00x,1.36x,0.00x,0.00x,0.00%,0.00%
PEV,Phoenix Motor Inc,--,,30.32x,14.00x,0.00x,4.02x,0.00%,0.00%
FENG,Phoenix New Media Ltd ADR,--,,0.42x,0.19x,0.00x,0.00x,-17.37%,-13.74%
PXHI,Phonex Holdings Inc,--,,0.53x,23.51x,0.00x,82.33x,-231.58%,-75.55%
PLAB,"Photronics, Inc.",16.67x,,1.97x,1.73x,6.91x,7.29x,10.55%,9.83%
PPHP,PHP Ventures Acquisition Corp,--,,0.00x,1.36x,0.00x,0.29x,-5.41%,-5.14%
PHR^F13,Phreesia Inc,--,,5.95x,3.56x,0.00x,3.08x,-35.82%,-31.06%
PHUN,Phunware Inc,--,,11.04x,3.33x,0.00x,6.30x,-157.94%,-79.40%
PHX,PHX Minerals Inc,15.93x,,1.98x,1.19x,8.11x,22.41x,8.64%,5.91%
DOC,Physicians Realty Trust,50.83x,,8.22x,1.45x,15.69x,39.23x,2.86%,1.73%
PDM,"Piedmont Office Realty Trust, Inc.",34.50x,,3.02x,0.90x,6.29x,47.98x,2.58%,1.27%
PIRS,Pieris Pharmaceuticals Inc,--,,4.32x,2.64x,0.00x,0.00x,-91.14%,-30.82%
PPC,Pilgrim's Pride Corporation,9.82x,0.43629,0.43x,2.50x,6.27x,54.19x,27.19%,8.67%
PAXS,PIMCO Access Income Fund,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PCK,Pimco CA Muni. Income Fund II,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PZC,Pimco CA Muni. Income Fund III,23.37x,,12.99x,0.85x,0.00x,18.20x,3.61%,2.10%
PCQ,PIMCO California Municipal Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PCN,Pimco Corporate & Income Strategy Fund,18.32x,,10.80x,1.03x,0.00x,32.95x,5.71%,3.59%
PTY,PIMCO Corporate&Income Opportunity Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PDI,PIMCO Dynamic Income Fund,11.84x,,19.28x,0.90x,0.00x,42.51x,5.32%,2.89%
PDO,PIMCO Dynamic Income Opportunities Fund,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
NRGX,Pimco Energy&Tactical Credit Opprts Fund,2.52x,,25.94x,0.97x,0.00x,21.22x,46.37%,33.87%
PGP,PIMCO Global StocksPLUS & Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PHK,PIMCO High Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PFL,Pimco Income Strategy Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PFN,Pimco Income Strategy Fund II,23.25x,,9.84x,0.94x,0.00x,20.26x,4.09%,2.80%
PMF,Pimco Municipal Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PML,Pimco Municipal Income Fund II,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PMX,Pimco Municipal Income Fund III,17.02x,,13.67x,0.63x,0.00x,18.86x,3.74%,3.07%
PNF,PIMCO New York Municipal Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PNI,Pimco NY Muni Income Fund II,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PYN,Pimco NY Muni. Income Fund III,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
RCS,"PIMCO Strategic Income Fund, Inc",27.46x,,9.09x,0.89x,0.00x,42.71x,3.15%,0.63%
PDD^H10,Pinduoduo Inc - ADR,34.25x,,4.22x,5.26x,0.00x,15.50x,19.10%,8.24%
PIPP,Pine Island Acquisition Corp,26.91x,,0.00x,1.33x,44.92x,0.24x,4.61%,4.19%
PTOC,Pine Technology Acquisition Corp,62.52x,,0.00x,0.26x,0.00x,0.11x,6.14%,5.66%
PEGY,Pineapple Energy Inc,--,,0.00x,0.75x,0.00x,3.02x,-20.52%,-14.00%
PLWN,Pinelawn Cemetery,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PNGAY,Ping An Insurance(Grp) Co of China (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PING,Ping Identity Holding Corp,--,,7.80x,3.42x,0.00x,29.40x,-14.78%,-10.12%
PME,Pingtan Marine Enterprise Ltd,--,,0.48x,1.02x,5.66x,80.89x,-4.27%,-0.46%
PCLB,"Pinnacle Bancshares, Inc.",--,,0.00x,2.87x,0.00x,0.00x,0.00%,0.00%
PPBN,Pinnacle Bankshares Corp,--,,0.00x,0.75x,0.00x,0.00x,0.00%,0.00%
PNFP,Pinnacle Financial Partners Inc,11.94x,,4.49x,1.25x,10.86x,0.00x,10.60%,1.44%
PNW,Pinnacle West Capital Corporation,16.91x,3.83762,2.19x,1.46x,6.63x,56.38x,8.81%,2.43%
PINS,Pinterest Inc,61.59x,,5.67x,4.89x,61.53x,0.00x,7.81%,6.70%
PBFS,Pioneer Bancorp Inc,56.88x,,4.66x,1.08x,36.00x,0.00x,1.87%,0.23%
PNBI,Pioneer Bankshares Inc.,11.59x,,2.63x,0.00x,0.00x,0.00x,0.00%,0.00%
HNW,Pioneer Diversified High Income Fund Inc,4.40x,,7.26x,0.76x,0.00x,32.66x,17.99%,12.16%
PHD,Pioneer Floating Rate Fund Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PHT,Pioneer High Income Fund Inc,2.37x,,7.97x,0.78x,0.00x,30.53x,37.59%,25.37%
PACX,Pioneer Merger Corp,18.33x,,0.00x,1.26x,0.00x,0.00x,7.41%,6.92%
MIO,Pioneer Muncpl Hgh Incm Opprtnts Fnd Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
MHI,Pioneer Municipal High Income Fund Inc,21.52x,,12.91x,0.78x,0.00x,0.00x,3.63%,2.12%
MAV,Pioneer Municpl Hgh Incm Advntg Fund Inc,16.27x,,12.85x,0.77x,0.00x,0.00x,4.74%,2.98%
PXD,Pioneer Natural Resources Co,9.01x,0.33746,2.19x,2.20x,5.91x,19.31x,26.61%,16.71%
PPSI,"Pioneer Power Solutions, Inc.",--,,1.67x,1.84x,0.00x,2.87x,-19.99%,-11.55%
PIPR,Piper Sandler Companies,10.24x,,1.25x,1.79x,8.48x,17.35x,22.27%,11.33%
PBI,Pitney Bowes Inc.,16.32x,-1.25565,0.15x,12.78x,2.77x,98.05x,72.69%,0.73%
PICC,Pivotal Investment Corp III,24.62x,,0.00x,1.31x,0.00x,0.00x,5.47%,4.98%
PXLW,"Pixelworks, Inc.",--,,2.15x,3.66x,0.00x,0.00x,-38.88%,-18.60%
PJT^I11,PJT Partners Inc,19.17x,,1.73x,14.80x,8.90x,0.00x,76.73%,18.33%
PLQC,Plains Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
PAA,"Plains All American Pipeline, L.P.",13.66x,,0.15x,1.03x,4.97x,40.38x,7.83%,3.38%
PAGP,Plains GP Holdings LP,19.61x,,0.05x,5.79x,1.58x,38.00x,7.69%,3.04%
