Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
AER,AerCap Holdings N.V.,--,,2.01x,0.80x,15.98x,76.86x,-10.33%,-2.21%
,Aerie Pharmaceuticals Inc,--,,2.77x,0.00x,0.00x,182.54x,0.00%,-13.34%
AKOM,Aerkomm Inc,--,,18.25x,1.80x,0.00x,24.66x,-22.14%,-13.63%
AERC,AeroClean Technologies Inc,--,,0.00x,4.26x,0.00x,0.00x,0.00%,0.00%
AJRD,Aerojet Rocketdyne Holdings Inc,27.73x,3.90628,1.52x,5.61x,18.06x,44.27x,27.18%,5.15%
AVTE,Aerovate Therapeutics Inc,--,,0.00x,3.66x,0.00x,0.00x,-42.65%,-35.14%
AVAV,"AeroVironment, Inc.",--,,5.24x,3.84x,44.89x,23.60x,-0.69%,-0.95%
ASLE,AerSale Corp,23.73x,,2.57x,2.42x,18.66x,0.00x,10.94%,9.59%
AES,AES Corp,--,,1.39x,7.56x,64.24x,78.01x,-16.12%,-2.25%
AEHA,Aesther Healthcare Acquisition Corp,--,,0.00x,1.28x,0.00x,0.00x,0.00%,0.00%
AIH,Aesthetic Medical International HldngsGL,--,,0.65x,0.00x,0.00x,179.10x,-620.83%,-74.01%
AEZS,AEterna Zentaris Inc. (USA),--,,4.64x,0.46x,0.00x,0.22x,-20.30%,-15.03%
GMFI,Aetherium Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AEMD,"Aethlon Medical, Inc.",--,,138.47x,0.00x,0.00x,0.00x,-56.21%,-52.23%
AEVA,Aeva Technologies Inc,--,,102.97x,2.34x,0.00x,0.00x,-28.13%,-27.00%
LIDR,Aeye Inc,--,,108.81x,2.76x,0.00x,0.00x,0.00%,0.00%
AFAQ,AF Acquisition Corp,17.34x,,0.00x,1.29x,0.00x,0.00x,7.72%,7.05%
AFCG,AFC Gamma Inc,10.39x,,7.12x,1.06x,14.22x,22.31x,10.77%,8.81%
AMG,"Affiliated Managers Group, Inc.",10.86x,-13.24599,2.09x,1.98x,5.47x,37.68x,21.01%,10.73%
AFMD,Affimed NV,--,,12.78x,3.38x,0.00x,13.70x,-52.82%,-32.60%
AFBI,Affinity Bancshares Inc,14.89x,,3.11x,0.84x,0.00x,0.00x,5.75%,0.86%
AFRM,Affirm Holdings Inc,--,,9.91x,4.08x,0.00x,61.15x,-27.08%,-11.43%
AFL,AFLAC Incorporated,9.31x,2.63682,1.83x,1.53x,0.00x,21.64x,14.46%,2.93%
AGAC,African Gold Acquisition Corp,47.40x,,0.00x,1.30x,0.00x,0.00x,2.79%,2.59%
AFTR,AfterNext HealthTech Acquisition Corp,19.78x,,0.00x,1.27x,0.00x,0.83x,12.88%,12.18%
AFYA,Afya Ltd,23.67x,0.50472,2.99x,1.90x,13.00x,41.87x,8.30%,4.58%
MITT,AG Mortgage Investment Trust Inc,--,,1.44x,0.65x,0.00x,87.56x,-13.83%,-0.43%
AATP,Agape ATP Corp,--,,269.15x,100.79x,0.00x,0.00x,-58.21%,-46.13%
AGBA,AGBA Acquisition Ltd,--,,0.00x,1.72x,0.00x,11.35x,-2.73%,-2.36%
AGCO,AGCO Corporation,10.47x,0.77264,0.71x,2.43x,8.21x,40.89x,24.32%,7.72%
UAVS,Ageagle Aerial Systems Inc,--,,4.80x,0.73x,0.00x,1.57x,-59.50%,-45.22%
AGESY,Ageas SA - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AIFS,Agent Information Software Inc,--,,0.00x,2.21x,0.00x,0.00x,0.00%,0.00%
AGTX,Agentix Corp,--,,4770.46x,0.00x,0.00x,0.00x,0.00%,0.00%
AGEN,Agenus Inc,23.65x,,2.25x,221.09x,44.26x,50.11x,0.00%,3.03%
AGE,AgeX Therapeutics Inc,--,,285.59x,0.00x,0.00x,0.00x,0.00%,-316.41%
AGGR,Agile Growth Corp,384.77x,,0.00x,1.30x,139.08x,0.00x,0.94%,0.88%
AGRX,Agile Therapeutics Inc,--,,1.36x,1.15x,0.00x,81.71x,-376.78%,-156.65%
A,Agilent Technologies Inc,31.97x,3.48466,6.07x,7.74x,24.83x,36.19x,25.43%,12.11%
AGIL,AgileThought Inc,--,,1.44x,2.67x,0.00x,39.26x,-43.57%,-10.27%
AGTI,Agiliti Inc,70.18x,,2.06x,2.42x,9.84x,54.77x,4.94%,1.47%
AGL,Agilon Health Inc,--,,4.94x,9.99x,0.00x,4.00x,-10.15%,-6.48%
AGYS,"Agilysys, Inc.",231.39x,,7.56x,12.79x,136.80x,0.00x,6.15%,3.79%
AGIO,Agios Pharmaceuticals Inc,--,,241.19x,1.38x,0.00x,0.11x,-25.96%,-23.63%
AGMH,AGM Group Holdings Inc,11.79x,,1.26x,2.00x,12.84x,5.89x,24.71%,7.55%
AGNC,AGNC Investment Corp,--,,0.00x,1.00x,0.00x,84.33x,-12.71%,-1.32%
AEM,Agnico Eagle Mines Ltd (USA),25.74x,0.92483,4.30x,1.28x,13.53x,8.83x,5.45%,3.64%
API^E15,Agora Inc,--,,3.50x,0.67x,0.00x,0.00x,-9.75%,-8.81%
ADC,Agree Realty Corporation,40.62x,,16.32x,1.64x,25.12x,32.85x,3.92%,2.64%
AGRIP,Agribank FCB,96.21x,,0.28x,11.95x,1.42x,0.00x,11.36%,0.55%
AGRI,AgriFORCE Growing Systems Ltd,--,,0.00x,5.16x,0.00x,0.94x,0.00%,-129.52%
AGFY,Agrify Corp,--,,0.45x,0.21x,0.00x,24.16x,-23.76%,-17.54%
