Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
GDV,Gabelli Dividend & Income Trust,-15.00%,3.71%,6.11%,17.60%,16.73%,0.03%
GGZ,Gabelli Global Small Md Cp Vl Trst,-24.00%,3.83%,5.35%,27.44%,15.64%,0.03%
GAM,General American Investors Company Inc,-11.00%,3.33%,5.89%,15.92%,16.70%,0.03%
GET,Getnet Adurnc e Srcs pr Ms d Pgnt SA-ADR,0.00%,2.02%,5.25%,59.03%,55.26%,0.03%
GOAC,Go Acquisition Corp,2.00%,0.03%,0.23%,0.10%,2.77%,0.03%
GPCO,Golden Path Acquisition Corp,3.00%,0.00%,0.32%,0.20%,5.17%,0.03%
GWII,Good Works II Acquisition Corp,0.00%,0.00%,0.39%,0.30%,3.64%,0.03%
GTPA,Gores Technology Partners Inc,1.00%,0.01%,0.17%,1.70%,1.65%,0.03%
GRRR,Gorilla Technology Group Inc,0.00%,-3.32%,-4.18%,77.10%,21.67%,0.03%
HHLA,HH&L Acquisition Co,2.00%,0.04%,0.31%,0.20%,2.81%,0.03%
HMNF,"HMN Financial, Inc.",-1.00%,0.30%,-0.79%,12.74%,3.66%,0.03%
IGTA,Inception Growth Acquisition Ltd,0.00%,0.23%,0.72%,3.77%,2.57%,0.03%
AXH,Industrial Human Capital Inc,0.00%,0.22%,0.66%,0.20%,2.86%,0.03%
IBA,"Industrias Bachoco, S.A.B. de C.V. (ADR)",3.00%,4.70%,6.64%,5.77%,22.59%,0.03%
IFIN,InFintT Acquisition Corp,0.00%,0.15%,0.52%,0.20%,2.64%,0.03%
VKQ,Invesco Municipal Trust,-22.00%,1.33%,3.16%,23.79%,12.53%,0.03%
VGM,Invesco Trust for Investment GradeMncpls,-21.00%,1.48%,3.01%,22.77%,11.91%,0.03%
IVCB,Investcorp Europe Acquisition I Corp,0.00%,0.02%,0.31%,8.76%,2.03%,0.03%
JCIC,Jack Creek Investment Corp,2.00%,0.12%,0.43%,0.20%,3.02%,0.03%
JAQC,Jupiter Acquisition Corp,0.00%,0.20%,0.55%,0.51%,1.67%,0.03%
KRNL,Kernel Group Holdings Inc,2.00%,0.15%,0.44%,4.64%,2.71%,0.03%
TGR^J14,Kimbell Tiger Acquisition Corp,0.00%,0.02%,0.33%,0.00%,0.00%,0.03%
KIII,Kismet Acquisition Three Corp,2.00%,0.26%,0.51%,0.51%,2.29%,0.03%
LFAC,LF Capital Acquisition II Corp,0.00%,0.26%,0.67%,0.20%,2.13%,0.03%
JMAC,Maxpro Capital Acquisition Corp,0.00%,0.18%,0.58%,3.81%,2.54%,0.03%
MEKA,MELI Kaszek Pioneer Corp,0.00%,0.17%,-0.09%,32.11%,1.32%,0.03%
MTAL,Metals Acquisition Corp,0.00%,0.05%,-0.13%,3.05%,2.82%,0.03%
MIN,MFS Intermediate Income Trust,-20.00%,0.53%,0.99%,19.52%,6.17%,0.03%
MFV,MFS Special Value Trust,-30.00%,2.71%,0.25%,32.59%,12.56%,0.03%
MBCN,Middlefield Banc Corp,14.00%,4.08%,6.94%,11.82%,18.50%,0.03%
MCAE,Mountain Crest Acquisition Corp III,2.00%,0.08%,0.26%,2.07%,5.87%,0.03%
NTIP,Network-1 Technologies Inc,-25.00%,-1.55%,-4.18%,29.15%,0.00%,0.03%
NSYS,Nortech Systems Incorporated,23.00%,7.00%,2.05%,38.48%,33.41%,0.03%
NKG,Nuveen Georgia Quality Municipal Inc Fd,-18.00%,0.97%,1.99%,19.96%,11.03%,0.03%
JLS,Nuveen Mortgage and Income Fund,-20.00%,0.92%,1.61%,20.06%,6.77%,0.03%
NUV,Nuveen Municipal Value Fund Inc,-21.00%,0.62%,1.69%,22.19%,9.42%,0.03%
NXJ,Nuveen New Jersey Quality Mncpl Inc Fund,-16.00%,1.34%,3.13%,17.49%,12.88%,0.03%
NQP,Nuveen Pennsylvania Quty Mul Ince Fund,-18.00%,1.47%,3.02%,19.08%,11.76%,0.03%
JRS,Nuveen Real Estate Income Fund,-10.00%,3.74%,4.89%,20.78%,14.19%,0.03%
NXP,Nuveen Select Tax-Free Income Portfolio,-18.00%,-0.10%,0.86%,18.98%,8.58%,0.03%
OSBK,Oconee Financial Corp,0.00%,-2.44%,3.85%,6.70%,0.00%,0.03%
ONYX,Onyx Acquisition I Co,0.00%,0.20%,0.51%,4.10%,2.65%,0.03%
ORIA,Orion Biotech Opportunities Corp,2.00%,0.03%,0.32%,8.91%,2.29%,0.03%
PBHC,Pathfinder Bancorp Inc (MARYLAND),21.00%,-0.54%,-1.02%,13.73%,19.76%,0.03%
PATI,Patriot Transportation Holding Inc,-32.00%,3.50%,5.18%,34.55%,12.50%,0.03%
PEPL,PepperLime Health Acquisition Corp,0.00%,0.10%,0.42%,33.87%,3.33%,0.03%
PFN,Pimco Income Strategy Fund II,-25.00%,1.60%,4.34%,26.84%,17.72%,0.03%
PTOC,Pine Technology Acquisition Corp,2.00%,0.06%,0.29%,0.91%,2.18%,0.03%
PACX,Pioneer Merger Corp,0.00%,0.06%,0.35%,1.10%,1.85%,0.03%
MAV,Pioneer Municpl Hgh Incm Advntg Fund Inc,-22.00%,2.46%,4.03%,22.84%,13.45%,0.03%
PLMI,Plum Acquisition I Corp,2.00%,0.13%,0.47%,4.17%,2.43%,0.03%
PHIC,Population Health Investment Co Inc,1.00%,0.15%,0.46%,0.40%,2.58%,0.03%
PIAI,Prime Impact Acquisition I,3.00%,0.17%,0.45%,0.20%,2.78%,0.03%
RSSS,Research Solutions Inc,-31.00%,1.19%,0.41%,33.93%,9.47%,0.03%
RBKB,Rhinebeck Bancorp Inc,-15.00%,0.78%,-0.70%,19.70%,2.10%,0.03%
ROSE,Rose Hill Acquisition Corp,0.00%,0.30%,0.67%,4.86%,3.28%,0.03%
RCLF,Rosecliff Acquisition Corp I,2.00%,0.10%,0.33%,0.71%,2.28%,0.03%
SBFG,SB Financial Group Inc,1.00%,-1.33%,-3.43%,17.99%,5.04%,0.03%
SCOB,ScION Tech Growth II,1.00%,0.22%,0.41%,4.56%,2.40%,0.03%
SNT,Senstar Technologies Ltd,-56.00%,4.84%,3.83%,52.68%,14.69%,0.03%
SHQA,Shelter Acquisition Corporation I,0.00%,0.11%,0.42%,4.35%,2.91%,0.03%
SHCA,Spindletop Health Acquisition Corp,0.00%,0.08%,0.43%,7.73%,5.03%,0.03%
STET,ST Energy Transition I Ltd,0.00%,0.09%,0.54%,0.30%,2.68%,0.03%
SSBI,Summit State Bank,2.00%,-0.40%,-1.31%,24.25%,8.92%,0.03%
STRE,Supernova Partners Acquisitn Co III Ltd,2.00%,0.15%,0.44%,0.40%,2.82%,0.03%
SDAC,Sustainable Development Acquisitn I Corp,2.00%,0.03%,0.33%,0.40%,2.60%,0.03%
TAIT,Taitron Components Inc.,-15.00%,0.75%,4.15%,20.01%,22.78%,0.03%
TBSA,TB SA Acquisition Corp,2.00%,0.17%,0.46%,4.47%,2.50%,0.03%
TETC,Tech & Energy Transition Corp,2.00%,0.26%,0.50%,4.66%,2.29%,0.03%
HQL,Tekla Life Sciences Investors,-26.00%,2.65%,5.47%,29.43%,22.95%,0.03%
TCBS,Texas Community Bancshares Inc,3.00%,-1.05%,-3.41%,19.38%,5.97%,0.03%
TZPS,TZP Strategies Acquisition Corp,2.00%,0.16%,0.46%,0.50%,2.91%,0.03%
UBOH,United Bancshares Inc. OH,-27.00%,-1.10%,-14.31%,34.75%,5.00%,0.03%
UTAA,UTA Acquisition Corp,0.00%,0.29%,0.39%,3.41%,2.42%,0.03%
VLAT,Valor Latitude Acquisition Corp,2.00%,0.10%,0.44%,4.66%,2.19%,0.03%
VBFC,Village Bank and Trust Financial Corp.,12.00%,3.50%,2.38%,15.03%,18.26%,0.03%
NCV,Virtus Convertible & Income Fund,-30.00%,4.08%,6.81%,34.32%,22.03%,0.03%
,Virtus Convrtble & Incm 2024 Trgt Trm Fd,-14.00%,1.10%,1.79%,0.00%,0.00%,0.03%
WPCA,Warburg Pincus Capital I-A Corp,2.00%,0.04%,0.35%,8.43%,2.28%,0.03%
WARR,Warrior Technologies Acquisition Co,3.00%,0.09%,0.35%,0.05%,3.31%,0.03%
WAVS,Western Acquisition Ventures Corp,0.00%,0.00%,0.00%,0.20%,0.91%,0.03%
MMU,Western Asset Managed Municipals Fnd Inc,-18.00%,0.99%,2.12%,20.39%,9.55%,0.03%
WETG,WeTrade Group Inc,0.00%,-2.51%,30.71%,68.16%,972.00%,0.03%
WVFC,WVS Financial Corp.,-13.00%,-2.19%,-3.72%,13.03%,5.47%,0.03%
YOTA,Yotta Acquisition Corp,0.00%,0.00%,0.00%,0.10%,0.82%,0.03%
CTIB,Yunhong CTI Ltd,-53.00%,8.50%,13.15%,73.90%,36.94%,0.03%
BCOW,1895 Bancorp of Wisconsin Inc,-7.00%,0.93%,-0.12%,15.32%,0.91%,0.02%
LAX,8i Acquisition 2 Corp,0.00%,0.20%,0.61%,4.42%,3.01%,0.02%
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,-37.00%,2.70%,1.43%,38.15%,6.11%,0.02%
AOD,Abrdn Total Dynamic Dividend Fund,-18.00%,2.34%,3.06%,18.48%,9.04%,0.02%
AVK,Advent Convertible and Income Fund,-25.00%,4.75%,8.33%,26.15%,24.57%,0.02%
AENZ,Aenza SAA (ADR),-21.00%,6.66%,-3.64%,53.15%,6.88%,0.02%
AFAQ,AF Acquisition Corp,2.00%,0.21%,0.49%,0.10%,2.29%,0.02%
AGBA,AGBA Acquisition Ltd,5.00%,0.32%,0.95%,0.18%,5.77%,0.02%
ERH,Allspring Utilities and High Income Fund,-13.00%,1.70%,2.88%,16.61%,15.45%,0.02%
ALCC,ALTC Acquisition Corp,-1.00%,0.31%,0.52%,4.23%,2.42%,0.02%
ASRV,"AmeriServ Financial, Inc.",1.00%,0.45%,0.53%,11.73%,8.42%,0.02%
POND,Angel Pond Holdings Corp,3.00%,0.51%,0.65%,2.08%,2.92%,0.02%
ANZU,Anzu Special Acquisition Corp I,1.00%,0.06%,0.28%,0.15%,2.02%,0.02%
ARCK,Arbor Rapha Capital Bioholdings Corp I,0.00%,0.20%,0.52%,4.81%,2.64%,0.02%
AFAC,Arena Fortify Acquisition Corp,0.00%,0.43%,0.81%,6.66%,5.65%,0.02%
BANX,Arrowmark Financial Corp,-15.00%,3.02%,2.03%,22.44%,7.83%,0.02%
ASA,ASA Gold and Precious Metals Ltd,-27.00%,5.00%,1.71%,34.55%,19.40%,0.02%
ACII,Atlas Crest Investment Corp II,2.00%,0.12%,0.32%,0.30%,2.50%,0.02%
AHPA,Avista Public Acquisition Corp II,0.00%,0.05%,0.29%,3.62%,3.79%,0.02%
BRIV,B Riley Principal 250 Merger Corp,2.00%,-0.04%,0.15%,4.40%,1.77%,0.02%
BKSC,Bank of South Carolina,-23.00%,0.17%,-0.37%,22.50%,7.71%,0.02%
BYN,Banyan Acquisition Corp,0.00%,0.05%,0.26%,0.35%,1.27%,0.02%
BFAC,Battery Future Acquisition Corp,0.00%,-0.20%,0.00%,4.13%,2.32%,0.02%
BACA,Berenson Acquisition Corp I,0.00%,0.35%,0.65%,0.30%,1.76%,0.02%
BTB,Bit Brother Ltd,-74.00%,2.46%,-0.33%,90.00%,8.74%,0.02%
ECAT,BlackRock ESG Capital Allocation Trust,0.00%,1.48%,3.96%,23.03%,15.28%,0.02%
,BlackRock Health Sciences Trust II,-39.00%,0.80%,2.37%,41.05%,18.18%,0.02%
BIGZ,BlackRock Innovation & Growth Trust,-53.00%,4.08%,7.33%,53.37%,27.56%,0.02%
MVT,BlackRock MuniVest Fund II Inc,-27.00%,0.63%,1.53%,29.56%,10.78%,0.02%
BCX,BlackRock Resources&Commdts Strtgy Trst,-1.00%,3.84%,2.32%,19.88%,17.70%,0.02%
,Blackstone Senior Floating Rate Trm Fnd,-15.00%,2.47%,3.10%,20.31%,7.92%,0.02%
BLUA,BlueRiver Acquisition Corp,2.00%,0.08%,0.38%,0.60%,2.81%,0.02%
BOAC,Bluescape Opportunities Acquisition Corp,2.00%,0.19%,0.41%,0.10%,3.11%,0.02%
DHF,BNY Mellon High Yield Strategies Fund,-27.00%,2.62%,3.98%,27.94%,11.62%,0.02%
BGSX,Build Acquisition Corp,2.00%,0.18%,0.47%,0.71%,2.19%,0.02%
BHSE,Bull Horn Holdings Corp,3.00%,0.13%,0.49%,1.26%,3.25%,0.02%
CCTS,Cactus Acquisition Corp 1 Ltd,0.00%,0.19%,0.55%,6.97%,2.04%,0.02%
CMCA,Capitalworks Emerging Mark Acq Corp,0.00%,-0.04%,0.23%,4.48%,2.35%,0.02%
CCAI,Cascadia Acquisition Corp,0.00%,0.25%,0.62%,1.21%,2.08%,0.02%
CPAR,Catalyst Partners Acquisition Corp,1.00%,0.11%,0.34%,4.85%,1.77%,0.02%
CFFE,CF Acquisition Corp VIII,4.00%,0.24%,0.55%,0.10%,3.99%,0.02%
CFIV,CF Acquisition IV Corp,2.00%,0.23%,0.47%,0.30%,2.49%,0.02%
CVII,Churchill Capital Corp VII,1.00%,0.14%,0.31%,0.61%,1.87%,0.02%
CLAA,Colonnade Acquisition II Corp,1.00%,0.29%,0.64%,0.61%,2.50%,0.02%
TCFC,Community Financial Corp(Maryland),-2.00%,2.18%,2.78%,11.02%,9.67%,0.02%
CNFR,Conifer Holdings Inc,-55.00%,25.55%,22.99%,65.13%,17.97%,0.02%
CSLM,Consilium Acquisition I Ltd Corp,0.00%,0.12%,0.38%,6.42%,1.44%,0.02%
DALS,Da32 Life Science Tech Acquisition Corp,-2.00%,0.02%,0.09%,5.26%,1.46%,0.02%
DLCA,Deep Lake Capital Acquisition Corp,2.00%,0.17%,0.47%,4.40%,3.07%,0.02%
DHCA,DHC Acquisition Corp,2.00%,0.14%,0.40%,4.47%,2.29%,0.02%
DPCS,DP Cap Acquisition I Corp,0.00%,0.14%,0.39%,1.48%,2.77%,0.02%
DUNE,Dune Acquisition Corp,0.00%,0.19%,-0.51%,19.49%,1.24%,0.02%
KTF,DWS Municipal Income Trust,-21.00%,1.23%,2.66%,21.75%,10.92%,0.02%
,Eaton Vance FlotngRate 2022Trgt Trm Trst,-9.00%,-0.21%,-0.69%,0.00%,0.00%,0.02%
EIM,Eaton Vance Municipal Bond Fund,-19.00%,0.95%,2.03%,20.42%,8.71%,0.02%
HORI,Emerging Markets Horizon Corp,0.00%,0.13%,0.48%,0.20%,2.36%,0.02%
ESAC,ESGEN Acquisition Corp,0.00%,0.08%,0.39%,6.15%,2.44%,0.02%
ESP,Espey Manufacturing & Electronics Corp.,-5.00%,0.32%,0.06%,16.08%,12.20%,0.02%
EBAC,European Biotech Acquisition Corp,2.00%,0.18%,0.58%,4.37%,2.07%,0.02%
EVO^A19,Evotec SE (ADR),0.00%,2.21%,5.01%,0.00%,0.00%,0.02%
FEXD,Fintech Ecosystem Development Corp,0.00%,0.11%,0.54%,4.79%,2.24%,0.02%
FSEA,First Seacoast Bancorp,-1.00%,-4.17%,-7.59%,11.92%,2.52%,0.02%
FUSB,First US Bancshares Inc,-25.00%,-5.68%,-14.72%,27.92%,0.00%,0.02%
DFP,Flaherty & Crumrine Dynmc Prf&Inm Fd Inc,-23.00%,1.73%,3.16%,23.84%,12.14%,0.02%
FFC,Flaherty&Crmrn Prfrd & Incm Scts  Fd Inc,-22.00%,0.94%,2.28%,22.48%,10.36%,0.02%
FICV,Frontier Investment Corp,0.00%,0.11%,0.38%,1.31%,1.56%,0.02%
GSQB,G Squared Ascend II Inc,2.00%,0.10%,0.42%,0.50%,2.39%,0.02%
GDL,GDL Fund,-9.00%,-0.05%,-0.08%,11.02%,4.04%,0.02%
GNTA,Genenta Science SpA(ADR),0.00%,-2.50%,-8.10%,51.41%,24.85%,0.02%
GSRM,GSR II Meteora Acquisition Corp,0.00%,0.17%,0.00%,0.80%,1.43%,0.02%
HCVI,Hennessy Capital Investment Corp VI,0.00%,0.02%,0.09%,12.33%,1.12%,0.02%
HIGA,HIG Acquisition Corp,2.00%,0.12%,0.34%,0.10%,2.58%,0.02%
HFRO,Highland Income Fund,10.00%,1.68%,2.81%,4.32%,10.97%,0.02%
HNRA,HNR Acquisition Corp,0.00%,0.08%,0.00%,0.40%,0.91%,0.02%
HIII,Hudson Executive Investment Corp III,2.00%,0.18%,0.42%,0.22%,2.69%,0.02%
ACQR,Independence Holdings Corp,1.00%,0.15%,0.41%,8.96%,2.34%,0.02%
IMAQ,International Media Acquisition Corp,0.00%,0.05%,0.79%,0.39%,5.10%,0.02%
IACC,Ion Acquisition Corp 3 Ltd,1.00%,0.01%,0.28%,0.36%,1.71%,0.02%
ITQ,Itiquira Acquisition Corp,2.00%,0.13%,0.47%,0.30%,2.81%,0.02%
IXAQ,IX Acquisition Corp,0.00%,0.16%,0.44%,0.30%,1.96%,0.02%
JATT,JATT Acquisition Corp,0.00%,0.13%,0.51%,0.60%,2.99%,0.02%
JHS,John Hancock Income Securities Trust,-23.00%,1.86%,3.04%,30.02%,12.11%,0.02%
HTY,John Hancock Tax-Advntgd Glbl SH Yld Fd,-20.00%,1.89%,0.98%,22.19%,8.96%,0.02%
KAHC,KKR Acquisition Holdings I Corp,1.00%,0.07%,0.32%,0.51%,2.07%,0.02%
LCAA,L Catterton Asia Acquisition Corp,2.00%,0.01%,0.30%,0.10%,3.03%,0.02%
LBBB,Lakeshore Acquisition II Corp,0.00%,0.35%,0.00%,0.30%,1.01%,0.02%
LCA,Landcadia Holdings IV Inc,1.00%,0.18%,0.34%,1.11%,3.59%,0.02%
LVAC,LAVA Medtech Acquisition Corp,0.00%,0.38%,0.77%,0.00%,2.34%,0.02%
LVTX,LAVA Therapeutics NV,-53.00%,0.15%,-8.43%,68.85%,14.47%,0.02%
LDHA,LDH Growth Corp I,1.00%,0.11%,0.39%,4.37%,2.39%,0.02%
LVRA,Levere Holdings Corp,2.00%,0.09%,0.39%,4.37%,2.60%,0.02%
MGIC,Magic Software Enterprises Ltd,-2.00%,-2.89%,0.34%,22.60%,30.84%,0.02%
MAQC,Maquia Capital Acquisition Corp,4.00%,0.20%,0.66%,6.45%,4.47%,0.02%
MIT,Mason Industrial Technology Inc,1.00%,0.17%,0.30%,0.61%,1.98%,0.02%
MPRA,Mercato Partners Acquisition Corp,0.00%,0.21%,0.62%,4.67%,4.27%,0.02%
MSVB,Mid-Southern Bancorp Inc,-9.00%,0.81%,-0.53%,9.87%,6.97%,0.02%
IIF,Morgan Stanley India Investment Fund Inc,-4.00%,2.34%,5.97%,11.83%,16.08%,0.02%
MCAA,Mountain & I Acquisition Co Corp,0.00%,0.00%,0.31%,4.06%,2.11%,0.02%
NCAC,Newcourt Acquisition Corp,0.00%,0.15%,0.47%,4.45%,2.13%,0.02%
NHIC,Newhold Investment II Corp,0.00%,0.10%,0.22%,11.79%,1.86%,0.02%
NICK,"Nicholas Financial, Inc.",-20.00%,-0.47%,-1.83%,26.16%,8.59%,0.02%
NSANY,Nissan Motor Co Ltd (ADR),-29.00%,3.26%,3.27%,29.74%,11.66%,0.02%
NVG,Nuveen AMT-Free Municipal Crdt Inc Fund,-18.00%,2.51%,5.10%,20.47%,16.15%,0.02%
NEA,Nuveen Amt-Free Quality Municpl Incm Fnd,-19.00%,1.12%,2.86%,20.45%,13.32%,0.02%
NPCT,Nuveen Core Plus Impact Fund,-34.00%,0.73%,2.12%,35.40%,13.36%,0.02%
NMCO,Nuveen Municipal Credit Opprtntes Fund,-15.00%,1.96%,4.53%,22.13%,17.63%,0.02%
NNY,Nuveen New York Municipal Value Fund Inc,-14.00%,0.42%,1.11%,14.56%,7.32%,0.02%
NAN,Nuveen New York Quality Muncpl Incm Fund,-21.00%,0.40%,1.36%,22.37%,8.69%,0.02%
JPS,Nuveen Preferred & Income Securities Fnd,-21.00%,1.53%,3.82%,21.65%,13.04%,0.02%
OCC,Optical Cable Corporation,-4.00%,-3.08%,-2.40%,43.17%,19.33%,0.02%
ORAN,Orange SA (ADR),-9.00%,0.39%,-4.91%,18.49%,5.18%,0.02%
OHPA,Orion Acquisition Corp,-1.00%,0.06%,0.27%,22.38%,1.97%,0.02%
PRLH,Pearl Holdings Acquisition Corp,0.00%,0.26%,0.60%,5.77%,2.26%,0.02%
PPHP,PHP Ventures Acquisition Corp,0.00%,0.13%,0.72%,8.60%,2.99%,0.02%
PCK,Pimco CA Muni. Income Fund II,-22.00%,1.12%,3.97%,23.38%,18.84%,0.02%
NRGX,Pimco Energy&Tactical Credit Opprts Fund,28.00%,4.87%,8.17%,8.24%,35.51%,0.02%
MHI,Pioneer Municipal High Income Fund Inc,-21.00%,2.36%,4.55%,21.02%,15.02%,0.02%
PONO,PONO Capital Corp,0.00%,0.09%,0.51%,0.29%,89.55%,0.02%
PWUP,PowerUp Acquisition Corp,0.00%,0.23%,0.54%,4.29%,1.11%,0.02%
PIM,Putnam Master Intermediate Income Trust,-14.00%,1.14%,2.35%,15.29%,6.82%,0.02%
RELX,Relx PLC (ADR),-3.00%,0.18%,2.46%,9.81%,18.90%,0.02%
RACB,Research Alliance II Corp,-2.00%,0.07%,0.27%,1.80%,1.87%,0.02%
RCAC,Revelstone Capital Acquisition Corp,0.00%,0.20%,0.00%,4.44%,1.96%,0.02%
RFIL,"RF Industries, Ltd.",-19.00%,0.04%,2.93%,24.58%,23.66%,0.02%
RFMZ,RiverNorth Flexible Mncpl Inm Fnd II Inc,-30.00%,0.86%,0.93%,31.60%,8.15%,0.02%
RMM^E10,RiverNorth Mngd Durtn Mncpl Inc Fund Inc,-21.00%,1.47%,3.52%,22.71%,16.06%,0.02%
LGST,Semper Paratus Acquisition Corp,0.00%,0.06%,0.35%,2.94%,3.28%,0.02%
SZZL,Sizzle Acquisition Corp,0.00%,0.12%,0.44%,6.07%,3.08%,0.02%
EM^K11,Smart Share Global Ltd (ADR),-66.00%,0.53%,-3.99%,77.60%,23.95%,0.02%
SPE,Special Opportunities Fund Inc.,-16.00%,1.78%,2.60%,18.19%,11.99%,0.02%
TCBC,TC Bancshares Inc,16.00%,0.28%,1.96%,3.72%,16.53%,0.02%
TSIB,Tishman Speyer Innovation Corp II,1.00%,0.16%,0.46%,0.40%,1.55%,0.02%
YTPG,TPG Pace Beneficial II Corp,0.00%,0.01%,0.01%,2.89%,0.72%,0.02%
UPTD,TradeUP Acquisition Corp,0.00%,0.12%,0.40%,4.29%,3.45%,0.02%
TC,TuanChe Ltd (ADR),-15.00%,10.79%,12.26%,45.28%,52.22%,0.02%
TWLV,Twelve Seas Investment Co II,2.00%,0.08%,0.37%,1.60%,2.29%,0.02%
VACC,Vaccitech PLC - ADR,-69.00%,0.92%,-0.67%,71.94%,55.89%,0.02%
VLN,Valens Semiconductor Ltd,0.00%,-0.49%,1.03%,68.83%,40.22%,0.02%
NFJ,Virtus Dividend Intrst & Prem Strtg Fd,-15.00%,2.99%,5.87%,18.53%,18.46%,0.02%
VBOC,Viscogliosi Brothers Acquisition Corp,0.00%,0.24%,0.00%,0.30%,1.43%,0.02%
VMGA,VMG Consumer Acquisition Corp,0.00%,0.32%,0.73%,2.72%,1.93%,0.02%
IAE,Voya Asia Pacific High Divid Eqt Incm Fd,-22.00%,1.37%,-0.03%,24.18%,5.90%,0.02%
WAVC,Waverley Capital Acquisition Corp 1,0.00%,0.26%,0.49%,2.60%,2.53%,0.02%
WIA,Western Asset Inflation-Linked Income Fd,-24.00%,1.42%,2.58%,23.09%,9.85%,0.02%
IGI,Western Asset Invest. Grade Defined Opp,-19.00%,0.85%,2.38%,25.10%,8.40%,0.02%
WQGA,World Quantum Growth Acquisition Corp,0.00%,0.04%,0.32%,2.35%,2.05%,0.02%
WWAC,Worldwide Webb Acquisition Corp,0.00%,0.22%,0.62%,0.20%,2.27%,0.02%
VCXA,10X Capital Venture Acquisition II Corp,0.00%,0.07%,0.29%,8.73%,3.76%,0.01%
FVAM,5:01 Acquisition Corp,2.00%,0.14%,0.45%,0.00%,2.68%,0.01%
AVHI,Achari Ventures Holdings Corp I,0.00%,0.15%,0.54%,0.25%,1.83%,0.01%
AKTX,Akari Therapeutics PLC (ADR),-7.00%,9.02%,23.01%,15.43%,112.00%,0.01%
APTM,Alpha Partners Technology Merger Corp,0.00%,0.06%,0.30%,1.83%,1.99%,0.01%
AMAM,Ambrx Biopharma Inc - ADR,-87.00%,-0.06%,-19.26%,88.07%,0.00%,0.01%
ATA,Americas Technology Acquisition Corp,4.00%,0.35%,0.76%,10.30%,4.23%,0.01%
ARIZ,Arisz Acquisition Corp,0.00%,-0.02%,0.31%,0.30%,2.16%,0.01%
ARYE,ARYA Sciences Acquisition Corp V,-2.00%,0.14%,0.46%,2.30%,1.56%,0.01%
ACDI,Ascendant Digital Acquisition Corp III,0.00%,0.16%,0.58%,3.08%,2.86%,0.01%
ATEK,Athena Technology Acquisition Corp II,0.00%,0.28%,0.81%,0.75%,3.61%,0.01%
ASAQ,Atlantic Avenue Acquisition Corp,3.00%,0.07%,0.33%,0.10%,3.00%,0.01%
ADRT,Ault Disruptive Technologies Corp,0.00%,0.02%,0.38%,0.00%,2.65%,0.01%
BSMX,Ban Sa Me SA In de Ba Mu Gr Fi Sa(ADR),-9.00%,-0.68%,0.37%,16.98%,19.03%,0.01%
BNIX,Bannix Acquisition Corp,0.00%,0.58%,1.05%,0.60%,2.56%,0.01%
MCI,Barings Corporate Investors,-8.00%,0.86%,2.67%,0.00%,0.00%,0.01%
MPV,Barings Participation Investors,-10.00%,1.68%,1.89%,17.12%,8.70%,0.01%
BRD,Beard Energy Transition Acquisition Corp,0.00%,0.09%,0.35%,4.09%,2.15%,0.01%
BLNG,Belong Acquisition Corp,0.00%,0.19%,0.55%,5.47%,3.25%,0.01%
TWCB,Bilander Acquisition Corp,0.00%,0.04%,0.20%,1.12%,1.36%,0.01%
BIOS,BioPlus Acquisition Corp,0.00%,0.12%,0.53%,0.00%,2.35%,0.01%
EGF,BlackRock Enhanced Government Fund Inc,-18.00%,0.65%,1.20%,19.23%,4.56%,0.01%
BSTZ,Blackrock Science and Technology TrustII,-44.00%,4.41%,5.47%,48.31%,18.18%,0.01%
BOCN,Blue Ocean Acquisition Corp,0.00%,0.28%,0.68%,4.40%,1.94%,0.01%
DSM,BNY Mellon Strategic Municipal BndFndInc,-20.00%,0.73%,2.33%,20.94%,11.63%,0.01%
BRAC,Broad Capital Acquisition Corp,0.00%,0.08%,0.00%,1.68%,1.43%,0.01%
SCLE,Broadscale Acquisition Corp,2.00%,0.12%,0.47%,0.65%,2.97%,0.01%
BRKH,BurTech Acquisition Corp,0.00%,0.18%,0.48%,0.00%,2.04%,0.01%
BYTS,BYTE Acquisition Corp,1.00%,0.24%,0.52%,0.51%,2.29%,0.01%
CLXT,Calyxt Inc,-93.00%,5.92%,-9.32%,93.84%,36.35%,0.01%
CTAQ,Carney Technology Acquisition Corp. II,2.00%,0.06%,0.31%,0.05%,2.54%,0.01%
RENE,CARTESIAN GROWTH CORPORATION II,0.00%,0.00%,0.00%,10.63%,1.11%,0.01%
CPAC,Cementos Pacasmayo ADR,-11.00%,3.79%,2.47%,28.14%,14.58%,0.01%
CENQ,CENAQ Energy Corp,0.00%,0.19%,0.59%,7.82%,2.75%,0.01%
CFFS,CF Acquisition VII Corp,0.00%,0.35%,0.46%,0.10%,1.94%,0.01%
CBRG,Chain Bridge I,0.00%,0.00%,0.29%,1.38%,1.73%,0.01%
CEA,China Eastern Airlines Corp. Ltd.  (ADR),-1.00%,1.67%,2.20%,17.42%,13.26%,0.01%
ZNH,China Southern Airlines Co Ltd (ADR),1.00%,-0.64%,-1.55%,23.24%,14.81%,0.01%
CHSCP,CHS Inc,-1.00%,0.68%,0.30%,9.12%,7.02%,0.01%
